15875486
/m/03qc_1j
/m/03qc_1j
Edward Rutherfurd
1991-07
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
1800 1
a 3
also 1
and 5
are 1
asked 1
at 1
based 2
be 1
between 1
bobrovs 1
bolsheviks 1
business 1
but 1
catherine 1
century 1
characters 2
different 3
empire 1
encountered 1
ethnic 1
example 1
families 4
family 1
five 1
focus 1
for 2
friend 1
genghis 1
great 2
groups 1
his 2
historical 1
history 1
in 2
include 1
is 1
iv 1
ivan 2
karpenkos 1
khan 1
known 1
levels 1
main 1
member 1
narrative 2
nobility 1
noble 1
northern 1
of 9
on 2
oprichnina 1
part 1
peasant 1
period 1
peter 1
police 1
popovs 1
provide 1
real 1
romanovs 1
russia 1
russian 2
secret 1
social 1
society 1
span 1
spans 1
stories 2
story 1
stroganovs 2
suvorins 1
terrible 1
territory 1
thanks 1
that 1
the 20
their 1
them 1
these 1
this 1
those 1
through 1
to 2
turned 1
twentieth 1
use 1
was 2
westernizing 1
who 1
years 1
