11060291
/m/02qznj2
/m/02qznj2
Naguib Mahfouz
1983
{"/m/05hgj": "Novel"}
180s 1
a 3
an 1
analyze 1
and 7
anwar 1
apartment 1
are 1
around 1
as 1
assassinated 1
because 1
between 1
book 1
boss 2
but 1
by 1
called 1
cannot 1
catalyst 1
consciousness 1
coworker 1
day 1
death 2
decision 1
despair 1
door 1
during 1
early 1
earn 1
economic 1
economics 1
egypt 1
egyptian 3
emotion 1
employer 1
engaged 1
engagement 1
enough 1
eventually 1
familiar 1
father 1
fit 1
follows 1
for 1
format 1
freemarket 1
furnish 1
gap 1
generational 1
grandfather 1
hearing 1
her 1
his 2
history 1
human 1
in 4
infitah 1
intertwined 1
introducing 1
irrationality 1
is 6
kill 1
led 1
like 1
love 2
mahfouz 1
man 2
many 1
marriage 1
money 1
multiple 1
murders 1
narratives 2
news 1
not 1
novel 3
novels 1
of 6
off 1
on 2
open 1
or 1
permit 1
plot 1
policies 1
president 2
protagonist 3
purchase 1
rage 1
reflects 1
relationship 1
relationships 1
revolves 1
sadat 2
same 1
set 1
society 1
stream 1
such 1
terrorists 1
that 1
the 22
their 3
themes 1
throughout 1
to 5
two 1
universal 1
unrest 1
uses 1
was 1
which 1
whilst 1
who 1
widespread 1
will 1
with 1
woman 1
written 1
young 2
