8714886
/m/027fz_2
/m/027fz_2
Georgette Heyer
1940
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
14 1
1812 1
5th 1
a 3
accompany 1
accompanying 2
after 2
all 2
although 1
amiable 1
among 2
and 13
another 1
army 1
as 2
at 1
badajoz 1
baggage 1
battle 4
be 1
beauty 1
been 1
belgium 1
body 1
book 2
bothered 1
brigademajor 1
british 2
brother 2
burning 1
by 2
called 1
cambridgeshire 1
camp 1
campaigning 1
capitol 1
character 1
chose 1
city 2
come 1
convent 1
courage 1
days 1
deal 1
deeply 1
defeat 1
diaries 1
did 1
duke 1
during 1
elba 1
embracing 1
endeared 1
ends 1
engaged 1
england 1
english 1
escaped 1
europe 1
family 2
fell 1
few 1
field 2
finally 1
first 1
fluent 1
following 2
for 3
forces 1
freely 1
from 3
great 1
had 4
harry 10
harrys 2
he 4
her 10
herself 1
heyers 1
him 1
his 2
home 1
however 1
husband 1
husbands 1
idolized 1
in 10
including 1
insisted 2
installed 1
instead 1
is 1
juana 8
judgment 1
killed 1
later 1
letting 1
lodgings 1
london 2
love 1
married 1
meantime 1
mi 1
moment 1
my 1
napoleon 2
never 1
new 1
novels 1
objections 1
odioso 1
odious 1
of 15
officer 1
officers 4
old 1
older 1
on 3
one 1
open 1
orleans 1
orphan 1
other 1
outside 1
over 1
pair 1
peninsular 2
persuaded 1
portuguese 1
privations 1
raised 1
reading 1
referred 1
regency 1
regiment 1
remained 1
report 1
research 1
rest 1
returned 2
reunited 1
riding 1
rifles 1
sack 1
sanctuary 1
saw 1
saying 1
searching 1
sent 1
service 1
sharing 1
she 6
siege 1
sister 1
sleeping 1
smith 1
smyth 1
so 1
soldiers 1
sought 1
sound 1
spanish 2
speak 1
spoke 1
states 1
stay 1
teach 1
that 1
the 32
them 1
throughout 1
tirano 1
to 10
told 1
took 1
train 1
troops 1
tutor 1
tyrant 1
uninjured 1
united 1
veterans 1
visited 1
volunteered 1
walls 1
war 1
was 4
washington 1
waterloo 1
wellington 1
when 2
where 1
with 7
witnessed 1
written 1
year 1
