13618792
/m/03cc0fd
/m/03cc0fd
Sarah Dessen
2000-09-01
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
16th 1
18 1
1st 1
a 15
able 1
about 2
abused 1
adam 1
addiction 1
after 2
again 2
agrees 1
all 1
also 2
always 1
and 19
are 1
arizona 1
arrest 1
arrested 1
as 2
asks 1
at 5
attend 2
away 3
beats 1
because 4
become 2
becomes 1
been 1
begin 1
begins 5
best 1
better 2
birthday 2
biscoe 1
boo 1
book 3
bottom 1
boy 1
boyfriend 3
boys 1
broken 1
brokenhearted 1
but 6
by 1
caitlin 29
call 1
called 1
calling 2
calls 1
car 4
care 1
caring 1
cass 10
cassandra 1
catch 1
catilin 1
causes 1
cheer 2
cheerleaders 1
choices 1
christmas 1
claiming 1
class 1
classes 1
college 1
comes 2
completely 1
corinna 2
counseling 1
couple 1
daughter 1
dave 1
day 1
dealer 1
decides 1
departure 2
did 2
dismay 1
does 1
drug 2
drugs 1
end 1
engages 1
envied 1
eve 1
evergreen 1
every 1
everybody 1
everyone 2
everything 1
excited 1
expectations 1
explains 1
facility 1
fail 1
falls 1
family 1
fast 1
father 1
fathers 1
feels 2
finally 2
find 1
for 6
forget 2
forgets 1
friend 3
friends 1
from 7
front 1
fun 1
furious 1
game 1
gets 4
gift 1
gives 1
go 2
goes 1
ground 1
guest 1
had 1
halftime 1
happening 1
happy 1
has 2
hates 1
have 1
having 2
he 4
heads 1
hears 1
help 1
helps 1
her 31
him 1
his 1
home 2
hopes 1
house 3
improvement 1
in 10
incident 1
injury 1
into 2
introduces 1
is 12
it 4
join 1
joins 1
just 1
keeps 1
knew 1
knows 1
lake 1
later 4
leading 2
left 1
letter 2
life 1
literally 1
living 1
longtime 1
loved 1
luckily 1
make 2
makes 2
meet 1
meets 1
midtwenties 1
mind 1
mom 2
more 1
mother 2
much 1
name 1
named 2
neighbours 1
never 2
nose 1
not 4
of 12
off 1
okoren 1
old 1
on 9
one 2
only 1
other 1
out 6
outside 1
parents 2
parked 1
parts 1
party 2
past 1
perfect 1
person 1
phone 1
physical 1
picked 1
pile 1
plans 1
police 1
possible 1
pot 1
pounds 1
probably 1
pyramid 2
reaches 1
realized 1
received 1
refusing 1
relationship 1
remains 1
replacement 1
rest 1
rina 3
rogerson 15
run 1
runs 1
safe 1
said 1
saying 4
says 3
scar 1
school 1
searches 1
see 2
seeing 1
seen 1
sees 2
sex 1
she 29
shoved 1
shovel 1
show 2
since 1
sister 2
sleep 1
slow 1
smoke 1
so 1
some 1
someone 2
soon 4
special 1
split 1
squad 3
starts 1
step 1
still 1
sudden 1
supposed 1
take 2
talking 1
tell 1
terrified 1
that 12
the 26
then 2
they 5
thinking 1
this 1
three 1
throws 1
time 2
to 24
top 2
tough 1
tried 1
trying 1
turns 1
tv 1
two 1
under 1
until 1
up 2
very 1
waiting 1
walks 1
want 1
was 5
wash 1
wasnt 1
weeks 1
what 1
whenever 1
where 1
which 2
while 2
who 2
with 5
woman 1
works 1
worst 1
writing 1
yale 2
year 1
yelling 1
