14335797
/m/04g4gp
/m/04g4gp
Donna Boyd
1988
a 7
about 3
accomplish 1
achieve 1
alchemist 4
all 1
along 1
also 1
always 1
an 2
and 5
andalusian 1
arabian 1
as 1
be 1
beautiful 1
believing 1
book 1
boy 1
but 1
comprehend 1
conspires 1
core 1
danger 1
decides 1
disaster 1
discover 1
dont 1
dream 1
during 1
early 1
egypt 2
encounters 2
explains 1
fail 1
fatima 1
feels 1
find 2
follows 2
gold 1
gypsy 1
he 10
heart 1
helping 1
him 3
himself 2
his 6
if 1
in 5
into 1
is 4
it 3
its 2
itself 1
journey 2
king 1
learns 1
legend 2
legends 3
life 1
listens 1
lone 1
lot 1
love 1
meaning 1
meets 2
melchizedek 1
more 1
motto 1
named 2
nearby 1
not 1
of 4
old 1
only 1
opportunity 1
people 1
personal 5
philosophy 1
prophetic 1
pyramids 1
recurring 1
santiago 3
says 1
seeks 1
sell 1
shall 1
she 1
sheep 1
shepherd 1
something 1
states 2
teachings 2
tells 3
than 1
that 5
the 13
their 2
then 1
there 1
this 1
those 1
to 13
town 1
travel 2
travels 1
treasure 3
understand 1
universe 1
unsure 1
want 2
wanted 1
way 1
ways 1
what 2
when 1
who 4
will 1
woman 1
world 1
worthy 1
you 2
