310625
/m/01t42l
/m/01t42l
Alexandre Dumas

1660 1
1667 1
35 1
a 17
accompanies 1
act 1
action 1
acts 1
adieu 1
adviser 1
affair 4
affairs 1
affection 1
affections 1
africa 1
after 3
against 4
agrees 1
aid 2
aim 1
algiers 1
all 1
allaying 1
although 1
am 1
ambassador 1
an 4
and 42
angers 1
anne 3
aramis 22
are 4
arms 1
around 2
arrest 2
arrested 2
as 9
asking 1
assist 2
assistance 2
assume 1
assure 1
at 11
athos 10
attachment 1
attempting 2
attempts 1
au 1
austria 2
aware 1
back 2
background 1
baisemeaux 1
banishes 1
barbary 1
bastille 4
battle 1
be 2
bears 1
beaufort 1
because 1
become 2
becomes 1
been 1
before 1
behind 1
being 1
believes 1
belle 3
belleisle 3
besotted 1
between 2
birth 1
bishop 1
blueprints 1
bragelonne 1
brief 1
bringing 1
brings 1
broken 1
brother 3
buckingham 1
but 5
by 8
campaign 1
can 1
cannot 1
captain 2
cardinal 3
cedes 1
charge 1
charles 3
chevreuse 3
child 1
childhood 1
choose 1
circumvents 1
colbert 5
comes 1
commanding 1
compliance 1
compromise 1
comte 2
concealed 1
concerns 1
confess 2
confidante 1
confront 1
conspiratorially 1
constructs 1
contacts 1
contemplates 1
continues 1
convinces 1
corsairs 1
coup 1
court 3
cover 1
dartagnan 19
de 15
death 1
decision 1
decline 1
defends 1
defers 1
delayed 1
despite 2
detained 1
devastated 1
died 2
dies 1
diplomatic 1
disapproves 1
discerns 1
discover 1
discovers 1
disguised 1
dish 1
dismiss 1
dissuades 1
dtat 1
duc 2
duchesse 1
due 1
duel 1
dumas 1
during 1
dying 1
earned 1
eject 1
elaborate 1
embarks 1
encounter 1
ending 1
engineer 1
england 3
enhance 1
envoy 1
escape 4
escapes 2
estates 1
events 1
eventually 2
ever 1
executed 1
exiled 1
existence 1
expedition 2
exposes 1
face 1
falls 1
father 3
fearing 1
feigns 1
few 1
final 1
finance 1
finds 2
flees 1
flirtation 1
followed 1
fontainbleau 2
for 18
forgets 1
former 2
fortified 1
fortune 1
fouqet 1
fouquet 18
france 7
francea 1
franciscan 1
fre 1
freed 1
frequently 1
friends 4
from 10
frustratedly 1
fte 2
further 1
general 2
gigelli 1
giving 1
goes 1
good 1
governor 1
grand 1
greatly 1
grief 1
grows 4
guiche 4
had 1
half 1
handwriting 1
has 5
having 1
he 9
hearing 1
hears 1
heartbroken 1
help 1
henrietta 7
her 7
heroes 1
hides 1
him 12
his 26
honor 1
honour 2
hoping 1
horses 1
however 4
humiliating 1
i 1
if 1
ii 3
immediately 1
impending 1
imploring 1
impoverish 1
imprisoned 1
imprisoning 1
imprisonment 1
in 19
incident 1
include 1
indefinitely 1
inferior 1
influence 1
informs 1
initiates 1
inscribed 1
interested 1
intervenes 1
into 3
investigate 1
iron 3
is 28
isle 3
it 1
jealous 1
jeanbaptiste 1
jesuits 1
join 1
journey 1
junior 1
just 1
kidnaps 1
killed 2
king 25
know 1
la 4
lady 1
lapses 1
last 1
lavish 1
learning 1
learns 2
leaves 1
leaving 1
length 1
let 1
life 1
living 1
louis 22
louise 12
love 6
lover 1
loyal 1
m 1
madame 3
made 2
madman 1
maid 2
man 2
marriage 2
marry 1
marshal 1
mask 2
mazarin 2
meanwhile 5
meet 1
meets 1
military 1
minister 2
mission 1
moments 1
monarch 1
money 1
monk 1
montespan 1
mostly 1
mother 2
mounted 1
musketeers 3
name 1
narrative 1
nature 1
new 1
nicolas 1
night 1
nothing 1
notion 1
novel 3
of 44
off 1
offensive 1
on 10
once 1
only 1
ordering 1
orders 3
out 2
over 1
overhears 1
own 1
paris 1
part 2
parts 1
party 1
pay 1
people 1
peril 1
persuade 1
persuades 1
philippe 13
place 2
plan 1
plans 1
plot 3
plots 1
politics 1
pope 1
port 1
porthos 13
position 1
power 3
predicament 1
presence 1
prestige 1
prevails 1
prevents 1
prime 2
princess 1
principal 1
prison 1
prisoner 3
prisoners 1
promising 1
promotion 2
promptly 1
property 1
provinces 1
pursue 1
puts 1
raise 1
raoul 13
reaches 1
reading 1
realizing 1
reason 1
receiving 1
recruits 1
reenter 1
refuses 1
regains 1
reign 1
reinstated 1
relate 1
release 2
reluctantly 1
replace 2
replaces 1
reputation 1
rescue 1
rescues 1
resemblance 1
resigns 3
resolves 2
restored 1
retake 1
retired 1
retirement 1
return 2
returning 1
returns 2
revoir 1
rewarded 1
richly 1
romantic 1
rumours 1
saintemarguerite 1
salary 1
same 2
sanction 1
sea 1
searching 1
second 1
secret 3
secretly 1
seeing 1
seeks 1
select 1
sends 2
seriously 1
service 4
set 1
she 2
show 1
silver 1
slip 1
smaller 1
smokescreen 1
so 3
social 1
society 1
son 2
spain 2
start 1
stature 1
status 1
still 1
straw 1
striking 1
struggle 1
substantial 1
substitutes 1
subterfuge 1
succumbs 1
suggests 1
sun 1
superintendent 1
supplant 1
supplanted 1
suspicions 1
suspicious 1
sweetheart 1
sympathies 1
taking 1
tarnishing 1
tasks 1
that 10
the 93
their 6
them 1
then 2
these 1
they 3
this 3
throne 5
through 1
throwing 1
throws 1
time 2
to 60
todaya 1
tomorrow 1
toulon 2
transformation 1
treachery 1
tricking 1
true 3
turns 1
twin 1
two 1
unaware 2
under 1
undermines 1
unfortunately 1
united 1
unravelled 1
until 1
unwitting 1
upon 1
uses 1
vallire 3
vanne 1
vannes 1
vaux 5
very 1
visiting 1
visor 1
volunteers 1
war 1
wardes 2
warn 1
warns 1
way 2
ways 1
which 2
while 2
whilst 3
who 5
will 3
with 12
without 1
words 2
wounded 1
wrath 1
xiii 1
xiv 4
years 1
young 1
