4768772
/m/0cm9j5
/m/0cm9j5
Michel Butor

a 5
about 1
alone 1
and 5
anything 1
arrival 1
as 1
back 2
be 1
book 1
business 1
capital 1
ccile 3
change 1
cowardice 1
decided 1
decides 1
describes 1
doubt 1
each 1
ends 1
enthusiasm 1
eventually 2
failure 1
fear 1
finally 1
following 1
for 2
found 1
give 1
go 1
gradual 1
happens 1
has 2
have 2
he 5
her 4
him 1
his 6
hopes 1
ie 1
in 6
informed 1
initial 1
intends 1
is 2
it 1
italian 1
itself 1
job 1
la 1
leave 2
live 1
lover 1
man 1
met 1
middleaged 1
mind 1
modification 1
monday 1
month 1
new 1
not 1
novel 1
now 1
of 3
once 1
paris 3
past 1
plot 1
quite 1
ready 1
rejuvenating 1
relationship 1
rome 2
secret 1
situation 1
slowly 1
spend 1
start 1
straightforward 1
take 1
taken 1
takes 1
tell 1
telling 1
that 2
the 8
their 1
there 1
they 1
this 1
time 1
to 10
train 1
trips 1
two 1
until 1
visit 1
was 1
way 1
weekend 1
which 1
whom 1
wife 1
will 1
with 1
without 1
write 1
years 1
