23563172
/m/05qg0y6
/m/05qg0y6
Patrick Rothfuss
2011-03-01
1 1
a 35
abenthy 1
abilities 1
able 3
about 9
above 1
achieves 1
actions 1
adem 6
ademre 1
admissions 1
after 7
against 2
agrees 4
akin 1
alchemical 1
alive 1
all 2
allow 1
allowing 1
allows 1
also 4
although 4
alveron 1
ambrose 8
among 2
amyr 2
an 5
and 39
anger 1
angry 2
another 2
any 3
anywhere 1
appoints 1
apprentice 1
arcanist 1
archives 1
are 2
arguing 1
arm 1
arrest 1
arrested 1
arrives 1
arrow 1
arrows 1
as 6
asks 1
at 5
attack 1
attacked 1
attempt 1
attempts 1
back 7
badly 1
bandits 2
bast 4
battle 1
be 4
bearer 1
beaten 1
because 1
become 2
becomes 2
been 2
before 1
beginning 1
begins 2
behaviour 1
being 1
believes 1
belongs 1
blames 1
blood 3
bloodless 1
body 1
book 2
borrows 1
break 1
breakfast 1
breaking 2
breath 1
breathe 1
bring 1
broken 2
bursar 1
but 7
by 11
caesura 1
called 3
calling 4
calls 1
campfire 1
can 1
catches 1
caudicus 1
causing 1
charges 1
chases 1
chest 1
chi 1
choice 1
chronicler 3
chuan 1
claiming 1
class 1
cleared 1
clever 1
cloak 1
collectors 1
combat 1
come 2
companions 1
compensation 1
composes 1
concludes 2
conclusion 1
confronts 2
connection 1
consequently 1
continues 1
control 1
convince 1
convinces 2
count 1
cover 1
cthaeh 1
dal 1
dawn 1
day 4
days 1
dead 1
deal 1
dedicates 1
defend 1
defensive 1
degree 1
denna 5
desirous 1
destroys 1
devi 3
device 2
did 1
die 1
difficulties 1
disaster 1
discovers 1
does 1
drive 1
due 1
during 6
early 1
earning 1
earns 1
edema 2
either 1
elodin 1
elxa 1
encounter 2
end 1
enraged 1
enter 1
entire 1
escapes 1
even 1
eventually 2
ever 1
excursions 1
exist 1
experience 1
experiences 1
expunging 1
extracted 1
fae 2
failed 1
familiar 1
famous 2
favor 1
feelings 1
felurian 8
few 1
fight 1
fighting 1
finally 1
financial 1
find 1
finding 1
finds 3
fire 1
fired 1
first 2
fishery 1
flame 1
flee 1
follow 1
food 1
for 14
forcing 1
forward 1
four 1
friends 3
from 6
full 1
further 1
get 1
gets 1
girls 2
gives 1
go 2
goes 1
gone 2
gram 1
grants 1
group 3
had 1
half 2
has 8
hates 1
have 4
having 2
he 39
heads 1
heal 1
heavily 1
heirloom 1
help 4
helps 1
her 13
hiding 1
higher 1
him 21
himself 3
hinted 1
his 32
however 2
humans 2
impersonators 2
imre 1
in 21
inability 1
inadvertently 1
incident 1
indefinitely 1
indifferent 1
influence 2
information 1
ingester 1
inhibitions 1
initially 1
inn 3
insults 1
interlude 1
interludes 1
interrogates 1
interview 1
