5177439
/m/0d6dzk
/m/0d6dzk
John Marsden
1996
{"/m/03mfnf": "Young adult literature"}
a 20
about 1
accusations 1
accuse 1
admits 1
admittance 1
all 1
allegedly 1
also 1
an 3
and 19
animal 1
anorexic 1
any 1
appearance 1
are 4
as 2
asks 1
at 1
attacked 1
attention 2
attentiondeficit 1
author 1
back 1
backstories 1
before 1
begins 1
being 2
believes 1
beloved 1
ben 1
between 2
blame 1
bond 1
book 1
boy 1
breakdown 1
business 2
but 2
buys 1
by 4
carving 1
celebration 1
cements 1
chapter 1
character 1
characters 1
checkers 9
cindy 1
claiming 1
commit 1
company 2
considerable 1
continually 1
continue 1
continues 1
contract 1
conversation 1
coowner 1
corruption 1
damaged 1
daniel 1
day 3
death 1
defection 1
denies 1
descriptions 1
diary 2
discover 1
discuss 1
disorder 2
does 1
dog 3
dollar 1
driven 1
drives 1
during 1
dysfunctional 1
each 1
emine 1
emotionally 1
end 2
escalate 1
esther 1
events 1
ever 1
family 2
father 6
final 1
finds 1
firstperson 1
flash 1
following 1
for 2
forever 1
form 1
four 1
friendly 1
from 3
fur 1
further 1
gave 1
gift 1
girl 9
given 1
grimly 1
gross 1
group 3
has 4
have 1
having 1
head 1
heavily 1
her 9
herself 3
him 2
his 3
home 1
honest 1
hospital 3
hound 1
house 1
however 2
hyperactivity 1
in 6
include 1
inside 1
instructions 1
into 2
intrigued 1
involving 1
is 9
isolation 1
it 1
knife 1
last 1
leave 2
leaving 1
life 1
link 1
lived 1
living 1
main 1
many 1
matters 1
means 1
media 1
medicated 1
mental 2
met 1
missing 1
months 1
mostly 1
multimillion 1
murdered 1
named 1
nameless 1
names 1
narration 1
narrator 1
negative 1
never 2
newspapers 1
normal 1
not 2
novel 2
obsessivecompulsive 1
odd 1
of 19
oliver 1
one 3
only 1
other 1
outside 1
over 1
parents 1
part 1
partner 1
patient 1
pattern 1
period 1
personal 1
pet 1
photo 1
photos 1
place 1
plot 1
premier 5
press 1
pressure 2
psychiatric 2
psychotic 1
published 1
query 1
real 1
receives 1
refuses 1
reporter 2
reporters 1
resigned 1
return 1
returning 1
returns 1
revealed 2
rider 2
say 1
school 1
seemingly 1
seems 1
selfinjures 1
sessions 1
she 9
soon 1
state 1
story 1
strict 2
strikes 1
subplots 2
suffer 1
suggests 1
suicide 1
take 1
takes 2
talk 1
teenage 1
teenagers 1
text 1
that 1
the 42
them 1
therapy 1
there 2
these 3
this 1
time 1
to 14
told 1
towards 1
tries 1
turkish 1
turkishaustralian 1
two 1
types 1
uncommunicative 1
under 1
unnamed 1
until 1
unusual 1
up 2
various 1
voluntary 1
waiting 1
walk 1
ward 4
was 2
when 2
which 3
who 9
whose 1
why 1
with 6
word 1
young 1
