3284270
/m/0938k5
/m/0938k5
Bernard Malamud
1957
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
23yearold 1
25yearold 1
60yearold 1
a 28
abandon 1
abandoned 1
about 1
abusive 1
accepts 1
accomplice 1
account 1
act 1
after 5
afterwards 1
again 2
aggravated 1
alienated 1
all 2
allows 1
alpine 1
also 1
amounts 1
an 7
and 34
anxious 1
apartment 1
apologizes 1
appearance 1
apron 1
are 3
around 1
arranges 1
arrives 1
arsonist 1
as 9
ashamed 1
aside 1
aspires 1
assault 1
assaulted 1
assistant 2
at 8
attacked 1
attempting 1
attentive 1
attribute 1
away 1
awkward 1
back 3
be 1
beats 1
becomes 1
bed 1
begin 2
begins 2
being 4
benefit 1
benefits 1
berates 2
better 1
between 1
bleak 1
block 1
board 1
bober 4
bobers 2
book 1
books 1
botch 1
both 1
bottles 1
bound 1
breaks 1
brief 1
builds 1
burn 1
burns 1
burst 1
business 2
but 7
buy 1
by 10
can 2
care 1
catch 1
catches 1
cigarette 1
circumcision 1
claiming 3
clandestine 1
clear 1
clings 1
closes 1
coast 1
college 1
comes 1
comeuppance 1
committed 1
competing 1
concluding 1
confession 2
confrontations 1
considers 1
contemplates 1
contribution 1
conversations 1
couple 2
courted 1
curses 1
customers 3
daughter 2
day 2
days 2
debilitating 1
debt 1
decides 1
declaring 1
deliberate 1
deserted 1
desperate 1
despite 4
destitution 1
develops 1
dies 2
diner 1
discreet 1
discuss 1
disgusted 1
dismissal 1
dismisses 1
doing 1
double 1
down 1
dreams 2
drifter 1
due 1
during 1
each 1
earnings 1
east 1
education 1
energy 1
escape 1
ethical 1
even 1
events 1
eventually 1
ever 1
every 1
experience 1
faces 1
failed 1
falling 1
falls 1
family 1
father 1
favor 1
fear 1
few 1
financial 1
finding 1
finds 1
fire 3
flames 1
follow 1
for 14
forces 1
forgiving 1
foster 1
frank 28
from 6
future 2
gas 2
gentile 1
gets 1
give 2
given 1
go 1
goes 1
good 4
grocer 2
grocery 1
ground 1
grow 1
grows 1
gunman 2
gunpoint 1
had 2
happy 1
hard 1
has 1
haunt 1
have 3
having 2
he 23
head 1
health 1
held 1
helen 14
her 16
herself 2
higher 1
him 10
himself 5
his 31
holdup 3
home 3
honest 1
hopes 1
hospitalized 1
however 1
ida 6
improve 1
improved 1
improvement 1
in 18
incident 1
include 1
income 2
increased 1
industriously 1
inevitably 1
inhaling 1
initial 1
initiated 1
injury 1
insists 1
insurance 1
intention 1
intercourse 1
interest 1
intimacy 1
into 1
is 17
it 6
italianamerican 1
italyeners 1
jew 2
jews 1
job 4
judaism 1
just 2
justifies 1
karp 2
keeps 1
knowing 1
last 1
late 2
later 2
latter 2
learns 1
leave 1
leaving 2
life 2
lifehis 1
light 1
lights 1
liquor 2
live 1
living 1
look 1
lose 2
love 3
loves 1
lulls 1
make 1
makes 2
man 1
many 2
march 1
masked 1
match 1
matters 1
meager 1
meanwhile 1
measures 1
medical 1
meetings 1
men 2
minogue 4
miserable 1
misgivings 1
modernized 1
money 4
more 3
morris 16
mourn 1
need 1
needed 1
neighborhood 1
night 4
no 1
not 2
notably 1
notice 1
objections 1
obsessively 1
of 20
offer 1
offering 1
offers 2
oldfashioned 1
on 8
one 3
only 2
opportunities 2
opportunity 1
or 1
order 1
orphanage 1
other 2
others 1
out 3
over 2
overcome 1
own 3
owned 1
painful 1
pair 1
park 1
particularly 1
passover 1
pay 2
paying 1
person 1
personal 1
petty 1
philosophical 1
physical 1
pilfering 1
plan 1
plans 1
pneumonia 1
pocket 1
point 1
poor 1
preferring 1
presence 1
prison 1
privately 2
profusely 1
proprietor 1
prospects 2
protest 1
protests 1
provides 1
proximity 1
quandary 1
radiator 1
raised 1
raped 1
raping 1
reader 1
realizes 1
rebuilt 1
recompense 1
recuperate 1
redemption 1
refuses 1
reinterprets 1
relationship 1
relief 1
remained 1
remembered 1
remorse 1
rendezvous 1
rent 1
repeated 1
request 1
rescues 1
resolves 1
resulting 1
returning 2
returns 1
revealed 1
revelation 1
rival 2
role 1
romance 1
room 1
ruins 1
run 2
saved 2
search 1
second 2
secretary 1
see 1
sends 1
service 2
set 1
settles 1
several 2
sexually 1
share 2
she 6
shops 1
short 1
shovel 1
sick 1
sidewalk 1
simple 1
simultaneously 1
single 1
situation 2
smashes 1
smothering 1
snow 1
so 3
softens 1
some 1
somehow 1
something 1
sons 1
spinsterhood 1
spot 1
starts 1
stealing 2
still 1
stop 2
store 14
struggles 1
studies 1
supplement 1
supplemented 1
surreptitiously 1
take 2
takes 1
tenants 1
than 1
that 12
the 56
theft 1
their 4
them 2
then 5
they 2
thick 1
thieving 1
things 2
thinks 1
this 5
three 1
through 1
throws 1
thugs 1
till 1
time 1
times 1
to 45
tolerant 1
tossed 1
touch 1
towards 1
tragedy 1
true 1
trusted 1
trying 1
turn 1
turns 2
two 1
uncomfortable 1
up 3
upkeep 1
upon 2
upstairs 2
use 1
vagrant 1
wages 1
ward 2
was 3
way 2
ways 1
weak 1
weakened 1
west 1
when 6
while 3
wife 2
will 4
win 1
wins 1
wished 1
with 10
without 2
work 2
working 1
works 1
worried 1
would 1
yet 1
young 3
