13421012
/m/03c4sv1
/m/03c4sv1
George Pelecanos
2006-08-08
180s 1
20 1
a 5
again 1
all 2
also 1
and 5
are 3
at 2
becomes 1
by 1
case 1
community 1
cook 2
crime 1
crimes 1
detective 1
detectives 1
doc 1
drawn 1
dubs 1
first 1
found 1
gardener 1
gardens 1
given 1
gus 1
hallmarks 1
has 2
have 1
head 1
him 1
holiday 2
homicide 1
in 3
into 1
investigation 1
investigator 1
involved 1
is 2
later 1
lead 1
left 1
linked 1
media 1
murder 1
murders 3
names 1
nickname 1
night 1
of 3
officers 1
others 1
palindrome 3
palindromic 1
perpetrator 1
police 1
ramone 2
realising 1
retired 1
scene 1
set 1
shot 1
similarities 1
single 1
suspect 1
tc 1
the 17
then 1
third 1
three 1
through 1
time 1
to 1
trio 1
two 1
veteran 1
victims 1
was 2
were 1
which 1
with 1
years 1
young 1
