18650330
/m/04gwgc6
/m/04gwgc6
Dennis Lehane
2008-09-23
{"/m/05hgj": "Novel"}
105 1
118 1
121 1
a 17
able 1
across 1
actions 1
activities 1
advancement 1
affair 1
affiliate 1
africanamerican 2
after 1
agent 1
ago 1
aiden 1
allow 1
altercation 1
amateur 1
american 1
an 4
and 27
are 4
area 1
as 6
assign 1
association 1
at 2
attend 2
attending 1
attorney 1
away 1
back 1
banned 2
baseball 1
be 1
become 1
becomes 1
been 2
before 1
begin 1
begins 1
being 1
belowpoverty 1
best 1
board 1
bolsheviklike 1
bookie 1
born 1
boston 8
bpd 4
brocious 1
brother 1
bsc 5
build 1
building 1
by 5
captain 5
caught 2
cells 1
chamber 1
chaos 1
chapter 1
characters 1
child 2
christmas 1
close 2
closer 1
club 1
clutches 1
collaborating 1
colored 1
columbus 2
commissioner 1
conditions 1
confrontation 1
coughlin 4
coughlins 3
count 1
counting 1
country 1
couple 1
coyle 1
culminates 1
danny 14
dark 1
day 2
deacon 2
deadly 2
dealing 1
delving 1
department 3
destroyed 1
detective 2
difficult 1
discover 1
discovered 2
discuss 1
district 2
due 1
each 1
earlier 1
earn 1
earning 1
eddie 1
edgar 1
elected 1
end 1
ended 1
engaged 1
ensues 1
escape 1
ethnic 1
eve 1
exist 1
extra 1
fair 1
family 2
father 3
fbi 1
federation 1
finch 1
finds 1
five 2
flees 1
food 1
for 5
forces 1
form 1
formed 1
found 1
fraternal 1
friend 2
friends 2
friendship 1
from 8
gangster 1
get 1
gets 2
giddreauxs 2
given 2
giving 1
godfather 1
greenwood 2
grievances 1
had 3
handyman 1
hardships 1
has 5
have 1
he 5
headquarters 2
her 6
high 2
him 4
his 13
historical 2
home 2
hoover 1
hopes 1
household 1
i 1
identify 1
immigrant 1
in 20
individual 1
infiltrate 1
information 1
into 1
involvement 1
irish 2
is 18
it 1
its 1
j 1
jessie 2
join 2
just 1
justice 1
labor 2
laurence 11
lawyer 1
lead 2
leave 1
lettish 1
letts 1
level 1
lieutenant 1
life 2
lila 1
local 1
love 1
luther 5
main 1
make 1
manipulated 1
married 1
massachusetts 1
may 2
mckenna 4
meetings 3
members 1
membership 1
men 1
money 1
move 1
naacp 3
nascent 1
national 4
new 4
nora 6
not 1
novel 2
numbers 1
obtain 1
of 13
ohea 1
ohio 1
oklahoma 2
old 1
on 5
opposed 1
or 1
organization 1
organizations 1
organizing 1
other 1
others 1
own 1
particularly 1
partner 1
past 2
patrolman 1
patrolmen 2
people 1
plan 1
player 1
police 6
possible 1
preach 1
precipitated 1
pregnant 1
president 1
principles 1
prominent 1
promise 1
race 1
radical 2
raise 1
rayme 1
recently 2
reconciles 1
refusal 1
relatives 1
reluctant 1
renovating 1
reputation 1
returning 1
reunited 1
revolt 1
right 1
riot 1
rising 1
roxbury 1
run 1
running 2
saves 1
secret 3
servant 2
set 1
sets 1
she 4
shivering 1
since 1
situation 1
skimming 1
skinner 1
social 1
society 1
some 4
soon 1
spending 1
start 1
starts 1
status 1
steve 1
story 2
streets 1
strike 2
stripes 1
succeeds 1
taken 1
takes 1
talented 1
that 3
the 50
their 3
them 1
there 1
they 3
this 2
thomas 2
time 2
to 29
told 1
true 1
trying 1
tulsa 6
two 1
uncle 1
undercover 1
union 3
up 1
vice 1
views 1
wage 1
wages 1
war 1
was 3
well 1
when 6
where 2
which 2
while 1
who 1
whose 1
wife 4
with 9
work 1
working 3
workingman 1
world 1
year 1
years 2
young 1
younger 1
