1895560
/m/064g8y
/m/064g8y
Colin Thiele

a 2
after 2
alone 1
along 1
among 1
and 4
attend 1
back 1
between 1
boy 2
chicks 1
coast 1
concentrates 1
conflict 1
deserted 1
dunes 1
externally 1
face 1
fate 1
favourite 1
fierce 1
for 1
he 2
health 1
him 1
his 2
imposed 1
into 1
is 1
lifestyle 1
likes 1
mother 1
mr 4
names 1
nurses 1
ocean 1
of 1
on 1
out 1
pelican 2
percival 2
ponder 1
proud 1
releases 1
requirement 1
rescues 1
returns 1
school 1
shot 1
southern 1
storm 2
story 1
that 1
the 9
them 3
then 1
three 1
to 3
wander 1
