10495616
/m/02qft_x
/m/02qft_x
Carole Wilkinson
2007-04
a 14
abandon 1
abandoned 1
after 1
age 1
ago 1
all 1
an 1
and 17
are 1
as 4
assume 1
at 2
attacked 1
attacking 1
automatically 1
awake 1
away 3
band 1
be 1
because 1
been 1
before 1
beginning 1
believes 1
betrayed 1
black 2
bones 1
book 1
brings 1
brought 1
but 2
by 2
can 1
carries 1
challenge 1
che 1
cheping 1
chinahas 1
colors 1
colorsgreen 1
continues 1
crimes 1
current 1
danzi 1
day 1
dead 1
decides 2
discouraged 1
discovers 1
distraught 1
down 1
dragon 14
dragonnot 1
dragons 6
drawing 1
duke 1
during 1
dying 1
emperor 2
end 2
ends 1
escaping 1
eventually 1
feels 1
fight 1
find 2
finds 1
five 2
for 6
former 3
formerly 1
friend 1
friendship 1
from 4
further 1
future 1
gao 1
gathering 1
gently 1
get 1
getting 1
girlfriend 1
gold 1
greatly 1
greedy 1
habits 1
had 4
halfdead 1
hand 1
handful 1
hands 1
has 2
haven 3
he 4
heap 1
hei 3
her 5
hibernation 2
him 3
his 10
however 1
humans 1
hunters 3
immortality 1
imperial 1
in 9
insure 1
is 3
journey 1
jun 2
just 1
kai 10
keeper 1
keepers 1
kidnapped 1
killed 1
knowledge 1
lao 1
leaderand 1
learns 1
leave 1
leaves 2
lei 3
life 1
liu 2
living 1
location 1
long 2
love 1
man 1
managed 1
many 4
massacre 1
matured 1
meanwhile 1
meets 1
moon 1
morning 1
most 1
mountain 1
must 1
new 1
no 1
none 1
not 1
of 18
offer 1
old 2
on 4
one 4
only 4
out 1
palace 2
pick 1
picked 1
pieces 1
ping 10
position 1
quest 1
real 1
realizes 1
red 1
refuses 2
reliance 1
repents 1
revealed 1
safety 2
saw 1
search 1
shard 1
she 6
size 1
sky 1
slowly 1
starts 1
state 1
still 1
stone 1
story 1
stumbles 1
swoops 1
that 5
the 26
their 1
them 1
then 1
there 2
they 5
three 1
time 1
tinkling 1
to 10
together 1
too 2
towards 1
troops 1
trust 1
until 1
up 4
village 1
visions 1
wake 1
was 1
watches 1
way 3
well 1
when 1
where 1
white 1
who 1
wild 1
will 1
wins 2
winter 1
with 6
woman 1
wounded 1
yan 1
year 1
years 1
yellow 2
yuan 1
zi 1
