14724563
/m/03gvmvx
/m/03gvmvx
Gayle Friesen
2008
a 1
affairs 1
an 2
and 7
at 1
aunt 2
be 2
believe 1
ben 3
both 1
boy 1
building 1
bullying 1
by 1
can 1
comes 1
conrad 1
contains 1
determination 1
died 1
does 1
especially 1
family 3
father 1
fifteenyearold 1
finds 1
five 1
follows 1
for 2
frieda 2
girls 1
grown 1
has 2
he 6
her 2
himself 1
his 4
home 1
how 1
in 2
is 1
knows 1
learns 1
life 1
love 1
man 1
mother 1
novel 1
now 1
of 2
old 2
older 2
only 1
out 1
past 1
plot 1
protagonist 1
rapidly 1
relationship 1
russia 1
school 1
sisters 1
stand 1
start 1
step 1
story 1
strengthens 1
strong 1
struggling 1
surrounded 1
that 2
the 5
three 1
to 3
truly 1
two 1
unexpected 1
up 2
visit 1
was 1
what 1
when 1
who 1
with 1
woman 1
years 1
