808425
/m/03dj6j
/m/03dj6j
Terry Brooks
1977
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/03qfd": "High fantasy"}
1000 1
2000 1
250 1
a 22
ability 1
about 5
abruptly 1
accompany 1
activate 1
advanced 1
advisor 1
after 9
against 1
ageold 1
all 4
allanon 7
almost 1
along 1
already 2
also 3
although 1
among 1
an 4
and 44
apocalypse 1
are 1
armies 1
army 4
arrived 1
arriving 1
as 14
at 7
attack 1
attempt 1
attributes 1
back 3
balinor 6
banishing 1
battle 1
bearer 2
bearers 1
bearing 1
beaten 1
became 1
because 1
becomes 1
becoming 1
been 4
before 4
began 2
begin 1
begins 1
being 3
believing 1
betrayal 1
black 1
blade 1
blue 1
border 4
both 1
bremen 2
bridge 1
bring 1
broke 1
brona 3
brother 2
brothers 4
brought 1
buckhannah 2
but 4
by 9
callahorn 3
came 1
camp 1
can 1
capable 1
captive 1
captured 1
carried 1
caused 1
centuries 3
centuriesold 1
child 1
chronicled 1
city 3
combined 1
come 1
coming 1
commanded 1
companion 1
companions 1
confront 3
confronted 2
continue 1
control 2
convinced 1
cornered 1
council 1
country 1
creature 2
creatures 1
creel 1
culhaven 2
dark 1
dayel 2
days 1
decide 1
decided 1
defeat 1
defeated 1
defenders 1
defense 1
deluded 1
departed 1
descendant 1
deserter 1
destroy 1
destroyed 1
destroyers 1
destroying 1
destruction 2
disappearance 1
disappearing 1
disbanded 1
disguised 1
distinct 1
distraction 1
divided 1
do 1
downfall 1
driven 1
drugs 1
druid 4
druids 3
durin 2
during 3
dwarf 1
dwarves 2
earth 1
elessedil 2
elf 1
elfstones 1
elven 3
elves 2
emerge 1
encountering 1
ended 1
enemy 2
engaged 1
entire 1
escaped 1
evacuation 1
eventine 1
events 2
eventually 2
express 1
face 1
falls 1
family 3
fane 1
fed 1
fell 2
few 2
finally 2
find 2
first 4
five 1
fled 1
flee 2
flick 3
followers 1
for 7
forced 4
forged 1
form 1
forms 1
fortress 1
found 1
four 3
friend 1
from 6
gained 1
galaphile 1
gate 1
gathered 1
geographical 1
gets 1
given 1
gnome 1
gnomes 2
gotten 1
great 2
ground 1
group 2
had 12
half 1
halfelven 1
has 4
having 1
he 12
heels 1
help 1
helped 1
hendel 3
her 1
hiding 1
high 1
him 4
himself 4
his 15
holocaust 2
hood 1
however 2
ildatch 1
immediately 1
immortal 1
immune 1
impossible 1
imprisoned 1
in 19
infiltrated 1
infiltrating 1
inn 1
insane 3
inseparable 1
interracial 2
into 4
invasion 1
is 4
it 9
its 3
jamming 1
jerle 2
joined 1
journeying 1
keltset 2
kern 2
killed 3
killing 1
kills 1
king 3
kingdom 3
knowledge 1
land 1
lands 3
last 3
later 3
leah 2
learned 1
learns 1
leaving 1
left 1
legion 4
life 2
like 1
lives 1
locks 1
lone 1
lord 13
loss 1
lost 1
love 1
madness 1
magic 1
magical 2
main 1
make 1
making 1
mallicos 1
man 1
mankind 1
many 1
marched 1
marsh 1
materialized 1
medieval 1
meet 1
members 1
men 2
menion 7
mermiddon 1
minds 1
minions 1
mist 1
monsters 1
most 4
mountain 1
mutated 1
mute 1
mysterious 1
myths 1
name 1
named 6
nearby 1
northland 5
northlanders 2
not 1
novel 3
now 2
nuclear 1
occurred 1
of 46
ohmsford 3
old 1
on 5
once 1
one 3
onehanded 1
only 2
open 1
order 3
organized 1
orl 1
other 1
out 5
outer 1
over 1
own 1
palance 4
panamon 1
paradox 1
paranor 4
party 3
pawn 1
peace 3
people 1
perpetually 1
physical 1
place 2
planet 2
power 1
practically 1
preparations 1
prequel 1
price 1
prince 1
protection 1
pull 1
purpose 1
races 7
raised 1
ran 1
ravenlock 1
reach 1
reached 3
rearranged 1
reclusive 1
rediscovered 1
reduce 1
referred 1
reformed 1
refuge 1
removed 1
renewed 1
rescued 2
result 2
retreat 1
retreated 1
returned 7
reuniting 1
revealed 1
river 2
rogue 1
rule 3
run 1
sacrificed 1
same 1
save 1
saved 2
search 1
seclusion 1
second 1
seemingly 1
seizing 1
sendic 1
separated 1
series 1
servants 1
sets 1
setting 1
several 1
shadowed 1
shady 2
shame 1
shannara 8
shannaraand 1
shannaras 1
shea 13
shirl 2
showed 1
siege 1
sign 1
sirens 1
skull 9
sleep 1
some 2
son 3
soon 1
south 1
southland 2
split 1
spurs 1
stabbed 1
stand 1
stenmin 5
still 1
stood 1
stop 1
subsequent 1
subsequently 1
subverted 1
succeeded 2
supporters 1
sword 9
symbol 1
take 2
taken 1
takes 1
taking 1
talisman 2
tall 1
technology 2
tension 2
that 5
the 132
their 5
them 3
themselves 1
then 4
there 1
therefore 1
these 1
they 8
thief 1
this 4
those 1
though 2
three 2
throughout 1
thus 1
tide 1
time 3
to 42
together 1
told 1
tome 1
took 4
touched 1
town 1
traitors 1
traveled 1
treacherythe 1
tried 1
troll 1
trolls 1
true 1
truth 2
turned 1
two 3
tyrsis 5
under 2
unsheathed 1
up 3
upon 1
used 1
vale 3
vanished 2
various 1
wall 2
war 4
warlock 12
warned 1
warring 1
wars 3
was 14
waterfall 1
way 1
weapons 1
weeks 1
were 1
westland 1
what 1
when 3
where 2
which 1
while 3
who 2
wielding 1
winged 1
wiped 2
with 14
withdrawing 1
woman 1
world 2
years 3
yet 1
young 1
youth 1
