4974066
/m/0cxz7_
/m/0cxz7_
Jacek Dukaj
1997-01
16 1
a 2
actions 1
against 1
alongside 1
american 1
and 2
army 1
atomic 1
bomb 1
by 1
campaigns 1
capture 1
charimastic 1
colonel 1
document 1
does 2
during 1
evil 1
expect 1
experience 1
fighters 1
find 1
forces 2
freedom 2
from 1
good 1
guerrilla 1
hardened 1
he 2
himself 1
his 3
horror 1
ian 2
in 3
includes 1
interviewing 1
is 2
it 1
leader 1
long 1
midst 1
moscow 2
most 1
neither 1
network 1
news 1
no 1
not 1
of 7
poland 1
polish 4
realize 1
reckless 1
regime 1
reporter 1
republic 1
sent 1
side 1
smith 1
smuggle 1
soviet 3
start 1
steppes 1
task 1
that 1
the 7
there 1
to 5
towards 1
trip 1
ukrainian 1
veterans 1
war 1
when 1
which 1
will 1
wyryn 2
xavras 1
young 1
