1673256
/m/05mb94
/m/05mb94
Brian Jacques
1996
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 2
abbeydwellers 1
abbot 3
about 1
and 4
any 1
appear 1
are 2
baby 1
badger 1
be 1
beloved 1
bobbatan 1
book 2
bungo 1
bustling 1
character 1
characters 1
chores 1
constance 1
cooking 1
creatures 1
doing 1
feast 2
featured 1
features 1
flowers 1
for 3
foremole 1
from 1
gathering 1
great 1
guardian 1
however 1
in 4
is 1
many 1
matthias 1
mattimeo 1
mole 1
mordalfus 1
mossflower 1
mysterious 1
nod 1
not 1
novel 1
of 1
only 1
other 2
preparing 1
present 1
presumably 1
questing 1
redwall 5
tells 1
the 10
their 1
to 1
traveling 1
warriormouse 1
weary 1
while 1
woods 1
