10433866
/m/02qczd6
/m/02qczd6
Khaled Hosseini
2007-05-22
a 19
able 1
about 1
abusive 2
afghanistan 2
after 3
afterwards 1
agrees 1
almost 1
also 1
an 1
and 39
anew 1
appears 1
are 4
arranges 1
as 2
at 2
attacks 1
attention 1
attractive 1
aware 1
away 3
aziza 4
be 2
beat 1
beats 1
because 1
become 2
becomes 3
behind 1
being 1
best 1
between 2
birth 2
birthday 1
bombarded 1
boundaries 1
boy 1
burns 1
bus 1
but 5
by 2
cannot 1
carry 1
caught 1
chapter 1
child 4
children 1
city 1
close 1
comes 1
committed 1
conditions 1
confesses 1
confidantes 1
daughter 3
day 1
days 1
dead 1
decides 2
deprives 1
deserted 1
destroys 1
discover 1
discovers 2
displeased 1
does 1
down 1
draw 1
drought 1
each 1
eager 1
emotional 1
ends 2
eventually 1
every 1
exclusively 1
executed 1
fall 1
family 2
farewell 1
father 5
fear 1
few 1
fifteenth 1
find 1
first 1
fix 1
flare 1
focus 2
focuses 1
for 5
forced 1
four 1
fourth 1
friends 2
from 5
girl 2
gives 2
goes 1
gradually 1
has 3
have 2
he 7
her 19
herat 1
hikes 1
his 4
home 2
hopes 1
house 4
if 1
illegitimate 1
illsuited 1
in 10
injures 1
injuries 1
intervenes 1
into 2
is 19
it 2
jalil 4
jobs 1
kabul 7
killing 2
kills 2
kolba 1
laila 21
later 1
leave 4
left 1
letter 2
live 3
lives 2
living 1
love 1
making 1
man 1
mariam 16
married 1
marry 1
money 1
more 1
morning 1
mother 2
movie 1
named 3
nearly 1
neighborhood 1
never 1
nine 1
not 1
novel 1
of 7
on 5
one 1
order 1
orphanage 2
out 1
outside 1
outskirts 1
package 1
packing 1
pakistan 1
parents 1
part 2
parts 2
passions 1
pile 1
pinocchio 2
plan 1
poor 1
porch 1
power 1
pregnant 3
raised 1
rasheed 14
reads 1
recovering 1
refuses 1
regretted 1
return 2
returns 2
reunited 1
risen 1
rocket 2
run 1
same 1
savagely 1
second 2
see 2
sending 1
sends 1
senior 1
seven 1
several 1
severely 1
she 6
shoemaker 1
shovel 1
show 1
sleeping 1
small 1
social 1
son 1
soon 1
split 1
starts 2
station 1
stop 1
strangles 1
successive 1
suggested 1
suicide 1
suspicious 1
switches 1
take 2
taken 2
taliban 2
tariq 10
teacher 1
tells 1
term 1
that 6
the 20
theater 1
their 1
them 4
then 2
there 1
they 4
third 2
thirty 1
three 1
thursday 1
times 1
to 27
told 1
toward 1
town 2
up 3
videotape 1
village 1
visitor 1
visits 1
wants 1
war 1
was 1
water 1
wealthy 1
when 3
where 2
which 1
while 1
who 4
wife 1
will 1
with 10
wives 1
work 1
working 1
workshop 1
years 2
young 1
zalmai 3
