12403253
/m/02w3p7q
/m/02w3p7q
Austin Grossman
2007-06-05
a 9
about 1
accident 1
actions 1
actually 1
advance 1
after 1
against 1
age 1
almost 1
also 1
an 1
and 9
another 1
archnemesis 1
as 4
at 1
attempt 2
attempts 1
be 1
been 1
before 2
belonging 2
brazil 1
bringing 1
but 2
by 3
champions 4
chance 1
childhood 1
climax 1
closest 1
coming 1
competent 1
contrasts 1
controlled 1
convinced 1
corefire 6
corporation 1
could 1
crush 1
cyborg 2
damsel 1
deceased 1
defeat 2
defeats 1
demise 1
disappearance 2
discovers 1
domination 2
dr 9
during 3
earlier 2
earns 1
earth 1
energy 1
erica 1
escape 1
even 1
eventually 1
experiences 1
exposition 1
fatale 4
feels 1
flashbacks 2
for 3
former 2
formerly 1
frequent 1
friend 1
from 1
front 1
gathers 1
girlfriend 2
gives 1
goes 1
greatest 1
group 1
had 1
hammer 1
has 1
have 1
having 1
he 6
her 6
heroes 1
heroines 1
herself 1
highly 1
him 1
his 7
ice 1
immediately 1
impossible 10
in 4
incarcerated 1
initiate 1
intercut 1
interrogation 1
into 1
investigate 1
investigation 1
involved 1
is 6
island 1
its 1
kidnapee 1
life 2
lily 4
lowenstein 1
made 1
making 1
materials 1
maximum 1
member 3
memory 1
missing 1
needed 1
new 7
newest 1
no 1
novice 1
observes 1
of 8
on 3
one 1
only 1
origin 1
other 2
paths 1
pharaoh 1
plan 1
plans 1
popular 1
previous 1
prison 1
proves 1
quit 1
reached 1
reflections 1
reformed 1
replacement 1
replacing 1
respect 1
responsible 1
returns 2
reunite 1
reveals 1
ruler 1
search 1
security 1
she 5
since 1
source 1
start 1
succeeds 1
suddenly 1
superhero 2
superheroes 1
superteam 1
supervillain 2
suspect 1
taken 1
team 2
teammates 1
that 4
the 21
they 1
this 1
though 1
times 1
to 9
transformation 1
transformed 1
twelfth 1
two 2
uncomfortable 1
unsuccessful 1
unworthy 1
using 1
was 3
well 1
when 1
while 1
who 1
with 3
world 3
