3294825
/m/093xwx
/m/093xwx
Drew Karpyshyn

{"/m/06n90": "Science Fiction"}
a 6
abused 1
abusive 1
accidentally 1
adulthood 1
age 1
alcoholic 1
an 1
and 4
anger 1
apatros 1
apprentice 1
as 1
at 1
attempt 1
backstory 1
bane 4
been 1
blames 1
book 1
born 1
both 1
boy 2
brought 1
bullied 1
by 2
calls 1
challenges 1
childbirth 1
dark 2
death 1
dessel 1
draws 1
duel 1
ensuing 1
established 1
existence 1
father 1
fight 1
for 1
force 1
forcesensitive 1
found 1
friend 1
girl 1
had 1
happens 1
has 1
he 5
her 2
him 2
himself 1
his 3
hurst 2
in 5
injured 1
into 2
is 6
jedi 2
killed 1
miner 1
mines 1
named 2
necks 1
of 5
often 1
on 1
planet 1
powerful 1
rain 2
realizes 1
reestablish 1
ruusan 1
scene 1
seriously 1
side 2
sirak 1
snapping 1
soldiers 1
son 1
takes 1
teaches 1
the 14
this 1
to 4
troops 1
two 1
upon 1
vain 1
well 1
when 2
who 1
wife 1
worthy 1
young 2
