944096
/m/03s2zv
/m/03s2zv
Dan Brown
1996
a 18
able 1
access 1
account 1
actually 3
after 2
agency 2
algorithm 2
allowed 1
allowing 1
allows 1
also 2
an 3
anagram 1
and 14
antagonist 1
any 2
appear 1
appears 1
are 1
arranges 1
arranging 1
arrested 1
as 5
asks 1
assailant 1
assassin 1
assumes 1
at 5
attack 1
auction 1
away 2
backdoor 1
balcony 1
be 2
became 1
because 1
becker 5
becoming 1
before 2
being 1
believe 1
believes 1
between 1
born 1
both 1
break 1
breaking 1
but 1
by 7
bypass 1
calls 3
can 2
cannot 1
chairman 1
chapters 1
chartrukian 4
child 1
chip 1
chips 1
claims 1
cleared 1
code 3
codebreaking 1
codedigital 1
commander 1
commits 1
company 1
complex 1
computer 3
conducts 1
confrontation 1
cooling 1
corporation 1
could 1
crack 1
cryptographer 1
dakota 5
damages 1
data 1
databank 1
database 1
david 1
day 1
death 2
deformed 1
determined 1
die 1
died 1
dies 1
digital 8
discovers 4
displeased 1
does 1
each 1
eating 1
email 2
employee 2
enable 1
encounter 1
encounters 1
ensei 3
equipped 2
essentially 1
eventually 1
every 1
explains 1
explodes 1
facilitate 1
failure 1
falling 1
fatally 1
father 1
fellow 1
fianc 1
figures 1
filter 1
fletcher 8
for 4
former 1
fortress 8
fortressthat 1
free 1
from 4
gain 1
gauntlet 1
gave 1
get 1
gets 1
government 1
greg 1
hackers 1
hale 8
have 2
having 1
he 10
head 1
heart 1
help 1
her 1
him 3
himself 1
hired 2
hiring 1
his 10
holding 1
holds 1
honor 1
hostage 2
however 4
hulohot 6
if 1
immediately 1
impersonating 1
in 9
inbox 1
indeed 1
intends 1
into 3
intrusion 1
investigation 2
is 16
it 8
kill 3
killer 1
killing 1
kills 1
large 1
last 1
later 2
leads 1
left 1
lives 1
look 1
lost 1
machine 1
make 1
making 1
meanwhile 1
modem 1
motives 1
murder 1
murdered 2
mysterious 1
name 1
national 2
ndakota 2
new 1
next 1
north 5
nsa 10
numataka 5
of 6
off 1
on 4
once 1
one 1
order 1
out 1
overheats 1
own 2
pager 1
partner 2
passcode 1
password 1
people 1
person 2
perspective 1
phil 1
phone 1
prevent 1
primary 1
private 1
questions 1
received 1
recover 2
regaining 1
relationship 1
release 2
return 1
reuniting 1
reveal 2
revealed 2
ring 6
role 1
romantic 1
same 2
search 1
secrets 1
security 3
seville 2
she 1
shoots 1
significant 1
since 2
snooping 1
so 1
soon 2
speed 1
spy 1
standing 1
states 2
stop 1
strathmore 13
sublevels 2
suicide 2
supercomputer 1
supposedly 1
susan 3
suspected 1
system 1
tankado 14
technician 1
telephone 1
terminate 1
that 15
the 35
their 1
then 1
these 1
thirdgrader 1
thought 1
threat 1
through 2
time 1
to 26
tokyo 1
told 1
tracer 1
transltr 4
travel 1
trevor 1
trojan 1
unaware 2
united 2
unknown 1
unlock 1
unlocked 1
unlocks 1
up 1
violent 1
virus 1
virusworm 1
was 8
watching 1
wearing 1
website 1
were 1
what 1
when 6
whether 1
who 4
with 7
witnessed 1
worm 3
would 1
written 1
