6807495
/m/0gpxxw
/m/0gpxxw
Lin Carter

{"/m/0dz8b": "Sword and sorcery", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
60s 1
a 1
abdicates 1
anchor 1
ancient 1
and 4
antillia 1
antillian 1
aquilonia 1
attacked 1
book 1
but 1
by 1
call 1
chronicle 1
comrade 1
conan 2
conflict 1
conn 1
dark 1
eliminate 1
endeth 1
ends 1
far 1
favor 1
feathered 1
few 1
folk 1
for 1
god 1
great 1
here 1
his 3
hours 1
in 3
into 3
is 2
islands 1
isles 1
king 2
kingdom 1
later 1
lifted 1
literally 1
mayapan 1
meaning 1
mid 1
not 1
of 7
off 1
old 1
or 1
origin 1
priests 1
prince 1
quest 1
quetzlcoatl 1
red 1
sailed 1
sailing 1
sayeth 1
sendings 1
serpent 1
shadows 1
she 1
ship 2
sigurd 1
skirting 1
son 1
sorcerous 1
source 1
south 1
sunset 1
takes 2
the 15
their 2
them 2
then 1
threat 1
to 4
tongue 1
track 1
uncouth 1
unknown 2
vanaheim 1
were 1
west 2
when 1
which 2
whither 1
winged 1
with 3
wizard 1
xotli 1
