10452650
/m/02qdkgk
/m/02qdkgk
Eva Ibbotson
1997
140s 1
a 7
abandoned 1
academic 1
actually 1
after 1
all 3
already 1
an 2
and 12
around 1
arts 1
as 3
at 2
attends 1
attracted 1
aunts 1
austria 2
austrian 1
based 1
be 2
beautiful 1
become 1
before 1
begins 1
but 2
by 2
called 1
cancer 1
carr 1
centers 1
characters 1
children 6
chores 1
cleaning 1
compelling 1
contracts 1
cooking 1
countryside 1
dancers 1
danger 1
darcy 1
death 1
depth 1
deserve 1
discovers 2
domestic 1
dump 1
early 1
eccentric 1
ellen 9
encouragement 1
english 1
enigmatic 1
enjoys 1
even 1
everything 1
exams 1
experimental 1
faces 1
family 3
famous 1
feelings 1
feminist 1
fencing 1
figure 1
final 1
finds 1
for 3
friends 1
gardener 2
giving 1
grandfather 1
great 1
grows 1
hallendorf 1
handsome 1
have 2
henny 4
her 6
hero 1
himand 1
hitlers 1
homeland 1
housemother 1
however 1
in 7
inspired 1
instantly 1
institution 1
intriguing 1
is 7
it 1
jews 1
leaves 1
love 3
many 1
marek 2
mind 1
most 1
mother 2
mr 1
musician 1
mysterious 1
newfound 1
not 1
novel 1
nuisances 1
occupied 1
of 12
on 3
order 1
other 1
out 1
parents 1
particularly 1
parttime 1
peaceful 1
place 1
please 1
progressive 1
prominent 1
pursuits 1
raised 1
realize 1
reich 1
reistances 1
role 1
romantic 1
safety 1
school 5
see 1
servantpartner 1
set 1
shadow 1
she 3
should 1
side 1
sight 1
simply 1
since 1
smuggle 1
soon 1
sorts 1
stocked 1
suffragettes 1
surprise 1
swoonworthy 1
takes 1
teacher 1
teachers 1
that 5
the 17
their 3
them 1
then 1
there 1
these 2
they 2
things 1
threatening 1
to 11
tortoise 1
travels 1
university 1
up 1
used 1
various 2
very 1
war 1
wealthy 1
wheels 1
when 2
which 1
while 1
wild 1
wilder 1
with 3
woman 1
working 1
world 2
young 1
