8522978
/m/0276hgq
/m/0276hgq
Edith Wharton
1913
a 14
able 1
acquaintance 1
adjust 1
affair 1
after 1
again 1
agrees 1
allowed 1
alone 1
also 3
although 1
ambassador 1
ambitious 1
an 4
and 15
annul 1
antiques 1
anything 1
anyway 1
apex 2
are 1
aristocrats 1
arrive 1
art 1
as 4
at 2
awarded 1
be 4
beautiful 1
because 1
becomes 1
been 1
before 1
begins 1
begs 1
best 1
blackmails 1
born 1
borrows 1
boy 1
bribe 1
business 1
businessman 1
but 4
by 1
cannot 3
cant 1
catholic 1
character 1
chelles 2
city 2
clare 2
clear 2
closed 1
commits 1
consider 1
count 1
country 1
cousin 1
crass 1
custody 1
customs 1
dakota 1
daughter 1
de 2
deadline 1
deal 1
dealings 1
deals 1
degen 1
demands 1
desire 1
desired 1
desires 1
disconsolate 1
discover 1
disdain 1
dissatisfied 1
distraught 1
divorce 2
divorced 1
divorcee 1
divorces 3
do 3
does 3
dotes 1
elaine 1
elmer 4
eloped 1
encounters 1
endanger 1
enjoys 1
enough 1
entertainment 1
europe 2
even 1
ever 1
everything 1
expensive 1
extravagant 1
falls 1
family 3
feared 1
feels 1
few 1
fictional 1
finally 1
finances 1
financial 1
first 2
for 3
fortune 1
french 2
friends 1
from 4
funds 1
genuine 1
get 1
go 1
grant 1
had 1
has 2
have 2
having 2
he 4
her 15
herthe 1
hidebound 1
high 1
him 5
his 3
hope 1
husband 1
if 2
imagines 1
in 16
inconvenient 1
informs 1
inlaws 1
invests 1
is 7
it 5
knew 1
ladder 1
land 1
large 1
last 1
let 1
lifestyle 1
like 1
live 1
living 1
longer 1
loses 1
losing 1
love 1
made 2
marriage 2
married 3
marries 1
marry 2
marrying 1
marvell 1
meet 1
member 1
midwestern 1
midwesterners 1
moffat 2
moffatt 3
money 4
more 2
most 1
naive 1
named 1
neglects 1
new 4
no 1
north 1
not 8
nothing 1
nouveau 1
novel 1
now 2
observes 1
of 14
old 1
on 1
once 1
one 1
only 1
order 1
out 1
owing 1
own 1
paragraph 1
paris 3
paul 1
pay 1
permit 1
peter 3
piety 1
place 1
pope 1
position 2
possible 1
pregnant 1
previous 1
procure 1
prompting 1
raise 1
ralph 11
raymond 6
religious 1
remain 1
remarry 1
resents 1
riche 1
scheming 1
scholar 1
scorn 1
scramble 1
secret 1
seems 1
selling 1
sends 1
sent 1
shady 1
she 14
shocked 1
shopping 1
showalter 1
significant 1
so 1
social 2
socially 1
society 3
somewhat 1
son 3
soon 1
spend 1
spends 1
spraggs 1
staid 1
stays 1
still 1
sufficient 1
suicide 1
suited 1
sum 1
that 9
the 19
their 3
then 2
they 2
this 2
though 1
thought 1
through 2
tied 1
time 2
to 24
too 1
trips 1
ultimately 1
undine 17
up 2
upperclass 1
van 1
want 1
wants 1
was 3
wealth 2
wedding 2
what 1
when 1
while 1
who 4
widow 1
wife 1
will 4
with 8
work 1
would 3
years 1
york 4
