1761825
/m/05twwb
/m/05twwb
Barbara Kingsolver
1993
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 15
act 1
afraid 1
after 1
alice 6
also 1
alternatives 1
and 20
ann 1
annawake 6
appears 1
are 3
area 1
around 1
as 3
barbara 1
barbie 3
be 3
bean 2
because 1
beginning 1
begins 1
behind 1
between 1
biological 1
birth 1
boyfriend 1
broadcast 1
but 2
by 1
campaign 1
care 1
cash 2
cherokee 4
child 3
clothes 1
come 1
compromise 1
conducted 1
counterfeiter 1
cousin 1
custody 1
dam 1
dolls 1
down 2
driving 1
earning 1
enough 1
established 1
events 1
eventually 2
exploring 1
faith 1
fall 1
family 1
fictional 1
first 1
food 1
for 1
fourkiller 1
friend 2
from 1
grandfather 2
great 1
grew 1
guests 1
has 3
headlines 1
heaven 3
her 6
heritage 1
hired 1
home 1
hoover 1
hope 1
hornbuckle 1
husband 1
in 4
including 1
indian 1
invited 1
is 6
it 1
jax 1
jobs 1
joined 1
joins 1
kingsolver 1
knows 1
las 1
later 1
lawyer 1
leaves 4
left 1
life 1
lingerie 1
lives 2
lodging 1
losing 1
lou 1
luck 1
make 1
man 2
meanwhile 1
money 1
mother 2
name 1
named 1
nation 2
near 1
new 2
novel 2
number 1
obsessed 1
of 9
oklahoma 1
on 3
oprah 1
others 1
out 2
pair 1
person 1
proves 1
recognizes 1
result 1
return 1
ruiz 1
run 1
sales 1
same 1
saved 1
schemes 1
search 1
seattle 1
second 1
sees 2
set 1
sets 1
shared 1
she 1
show 1
spillway 1
stillwater 1
strongly 1
sugar 2
suspects 1
tahlequah 1
takes 1
taylor 9
telling 1
temporarily 1
that 3
the 18
them 1
thief 1
this 1
to 9
together 1
town 1
travel 1
trees 2
trio 1
trouble 1
true 1
truth 1
turns 1
turtle 14
two 1
under 1
unwavering 1
up 2
vague 1
vegas 1
visit 1
visiting 1
waitress 1
was 1
welfare 1
when 1
where 1
who 3
will 1
winfrey 1
with 4
works 1
years 1
