6812955
/m/0gq6hh
/m/0gq6hh
Richard Calder
1994
{"/m/06n90": "Science Fiction"}
1 1
100 1
15 1
178 1
2 1
3 1
4 1
5 1
6 1
7 1
a 22
ability 1
abode 1
act 1
again 1
age 1
all 1
also 1
amulet 2
an 5
and 22
another 1
apartment 1
armed 1
around 1
arrested 1
arrives 1
as 9
aspect 1
at 3
back 10
ball 1
bangkock 1
bangkok 1
banning 1
bar 2
barters 1
be 2
beauty 1
been 4
before 4
begin 1
begins 2
begs 1
being 2
beings 1
belly 1
black 1
born 1
boys 2
breaks 1
broker 1
but 1
by 13
called 2
capturedin 1
captures 1
catgirl 2
causes 1
century 1
changing 2
ciabacked 1
closed 1
coexistence 1
colonists 1
communicate 1
condemned 1
contact 1
containing 1
control 1
converting 1
coup 1
created 1
creating 1
cyborg 1
dagon 15
dagonignatz 1
datamart 1
daughter 2
daughters 1
day 1
dead 2
death 2
deathwish 1
defected 1
descendent 1
desire 2
die 1
died 1
diplomats 1
disgust 1
doing 1
doll 3
dolljunky 1
dolls 2
down 4
dr 2
dreamed 1
dreams 1
driven 1
drug 1
earlier 1
early 1
earth 2
eating 1
elohim 7
england 1
entering 1
erotic 1
evolved 1
examines 1
exchanging 1
excised 1
executed 2
executes 1
existence 1
expelled 1
failed 1
fantasies 1
fantasising 1
fearing 1
features 1
fellate 1
female 1
fictitious 1
finding 1
finds 3
flees 1
fly 1
following 1
for 2
fossilized 1
from 11
front 1
frustrated 1
fuelling 1
fully 1
future 2
gabriel 1
gamekeeper 2
generation 1
genetalia 1
get 2
gets 2
girls 1
gives 2
giving 1
godlike 1
goes 2
going 1
governess 1
government 1
grace 1
grandmother 1
green 1
grown 1
guesthouse 1
gun 1
had 2
has 13
have 2
having 2
he 13
heading 1
help 1
her 13
high 2
him 7
himself 2
his 12
history 2
hotel 1
how 1
human 4
humandoll 1
humans 1
hunt 1
hunts 1
ignatz 27
ignatzdagon 1
immune 1
impaling 1
imprisonment 1
in 19
infect 4
infected 1
infection 2
infects 1
information 1
inheriting 1
injecting 1
inquisitor 2
instead 1
instructions 1
intends 1
international 2
into 6
is 17
it 1
jar 1
jews 1
joins 1
junk 1
just 1
keep 2
khek 1
kill 1
killing 2
known 1
la 1
later 2
leading 1
leaves 2
left 1
let 1
life 1
lilim 13
lillim 1
linkriving 1
lives 1
living 1
london 1
longer 1
look 1
lover 1
mad 1
magazine 2
magic 2
make 1
males 1
manner 1
marauder 1
mars 7
martian 3
martians 1
masseuse 1
matrix 1
mee 2
meets 3
mephisto 2
message 2
meta 5
metainfected 1
mission 2
moved 1
mr 1
multiverse 1
murder 1
mut 2
mutagenic 1
nanomachine 1
nanoware 1
nazis 1
neck 1
need 1
new 3
next 1
nineteenth 1
no 1
nongkai 2
now 2
numbers 1
numerous 1
of 14
off 1
offered 1
offlimits 1
old 1
on 4
once 1
one 1
oral 1
orgasm 1
oullivan 1
ovaries 1
over 1
overrunning 1
overthrown 1
overwriting 1
paper 1
paris 2
past 1
pastoral 1
phallus 1
phin 7
pickled 1
plague 3
pornomarketeer 1
pregnant 2
present 3
preserved 1
presidium 1
price 1
primavera 11
prison 1
proposition 1
prostitute 1
quantum 2
queen 1
rain 1
reaching 1
realises 1
realities 1
reality 2
released 1
rendered 1
rendering 1
replicate 1
responsible 1
return 1
returns 1
reunited 1
reveals 1
revolutiondagon 1
rochester 1
sabine 1
same 1
sanctuary 1
sardanapalus 1
seed 1
seeks 1
selfreplicating 1
semen 1
sends 2
sense 1
sent 2
sentenced 1
sentient 1
seven 1
sex 2
sexstuff 1
sexual 1
she 5
since 1
sisteraliens 1
slaughters 1
sleeps 1
slinkriving 1
so 1
soaked 1
social 1
sold 1
spaceship 1
species 1
spike 1
spontaneously 1
stars 1
started 1
steal 1
still 1
strange 8
strong 1
stupor 1
stviridiana 1
sucette 1
summoned 1
sun 1
superfemininity 1
survive 1
take 1
taken 1
technical 1
tells 1
terrestrials 1
thailand 1
that 7
the 54
their 1
them 1
then 1
they 1
third 1
this 1
through 7
thus 1
time 6
timeloop 1
times 1
tintin 1
titania 3
to 36
track 1
tracking 1
traitoress 1
transformed 2
transforming 1
travels 1
treaty 1
tried 1
trigger 1
turned 1
turns 2
tutored 1
tying 1
unconscious 1
under 1
universe 1
up 2
urges 1
uterus 1
vagina 1
vanity 14
violation 1
virtual 3
virus 1
visits 1
wakes 1
wants 1
was 3
wat 1
weapons 1
wears 1
were 1
whatever 1
when 1
where 11
who 7
will 3
with 14
woman 1
womb 6
worker 1
years 3
ziggurat 2
zwakh 2
