5381761
/m/0djb8h
/m/0djb8h
Walter Scott
1829
{"/m/0hwxm": "Historical novel"}
13th 1
a 20
accepted 1
accompanied 1
accordingly 1
account 1
acting 1
adherent 1
admiration 1
admitted 1
advice 1
after 1
again 1
against 2
aid 1
aixenprovence 1
albert 2
all 1
already 1
among 1
amusements 1
an 6
ancestors 1
and 30
anjou 2
anne 7
annette 1
another 2
antonio 1
apparition 1
appeal 1
appear 1
arms 1
army 1
arranged 1
arranging 1
arrived 1
arthur 10
as 7
assistance 1
at 5
attracted 1
away 1
basel 2
battle 1
became 1
bedroom 1
been 2
before 1
being 2
beings 1
belief 1
bernese 1
between 2
biederman 3
bierderman 1
body 1
bold 1
bosworth 1
bow 1
brought 1
burghers 1
burgundian 2
burgundy 1
but 3
by 16
camp 1
castle 2
cathedral 1
cause 1
caused 2
ceded 1
chair 1
challenge 1
challenged 1
charles 5
citadel 1
citizens 1
city 1
commissioned 1
companion 1
company 1
condition 1
conducted 2
conflict 1
consent 1
continue 1
continued 1
convent 1
count 2
countess 1
court 2
danger 1
daughter 1
day 1
de 1
dealings 1
death 1
decided 2
declined 1
decreed 1
defeated 1
deputation 2
deputies 2
despatched 1
died 1
different 1
disguised 1
driven 1
duel 1
duke 7
dungeons 1
during 4
earl 6
earthquake 1
edge 1
elder 1
enabled 1
encouraged 1
england 1
english 1
englishman 3
enter 1
entered 1
established 1
evening 3
exactions 1
execute 1
exile 1
faithful 1
family 1
fancied 1
father 8
favourably 1
fell 1
ferrand 1
fit 1
fleece 1
for 3
found 1
france 1
fresh 1
frivolous 1
from 8
gain 1
gained 1
games 1
geierstein 2
golden 1
governor 1
grandson 1
guide 2
had 11
hagenbach 2
having 5
he 13
headquarters 1
hearing 1
help 1
henry 1
her 10
herself 1
him 7
himself 1
his 23
history 1
holy 1
home 1
hoping 1
host 1
house 1
however 2
imminent 1
implied 1
imprisoned 1
in 14
incited 1
independence 1
indicated 1
induced 1
injunctions 1
intending 1
interrupted 1
interview 2
invitation 1
invited 1
italians 1
jealous 1
john 2
joined 1
journey 2
just 1
killed 1
king 2
kingdom 1
lady 1
ladylove 1
lancaster 1
learned 1
let 1
lorraine 1
lowered 1
magistrates 1
making 1
margaret 3
marriage 1
meeting 1
melancholy 1
merchant 3
met 4
mission 1
more 1
mountain 1
much 1
mysterious 1
nancy 1
narrated 1
necklace 1
neighbours 1
neuchtel 1
news 1
next 1
night 2
nightwatch 1
not 1
obtained 2
occupied 1
of 29
old 1
on 8
once 1
or 1
overheard 1
overtaken 2
oxford 1
palace 1
patriot 1
persist 1
persuade 1
philipson 2
placed 1
planned 1
powers 1
precede 1
precipice 1
preference 1
prevent 1
priest 3
promise 1
prospects 1
provence 2
provided 1
queen 1
raising 1
rank 1
reaching 2
received 1
recent 1
recognised 1
refuge 1
rejoin 1
released 1
remonstrate 1
ren 1
represent 1
rescued 1
reside 1
respecting 1
restored 1
result 1
returned 1
rivals 1
roads 1
rouse 1
rout 1
rudolph 3
ruins 1
safety 1
same 2
saw 1
secret 2
seeking 1
seen 1
separate 1
share 1
she 1
shelter 1
should 1
siege 1
sigismund 2
sign 1
skill 1
slain 1
slaughter 1
society 1
son 3
sons 1
sought 1
speaking 1
spectre 1
spent 1
squire 1
state 1
steward 1
still 2
storm 1
strassburg 1
strict 1
summoned 1
supernatural 1
swiss 5
switzers 2
take 1
taken 1
than 1
that 7
the 70
their 9
them 3
themselves 1
there 2
they 7
throne 1
thwarted 1
to 34
took 1
towards 2
tower 1
town 1
travelled 1
travellers 1
travelling 1
treacherously 1
treachery 1
treaty 1
tribunal 2
troops 1
troubadours 1
uncle 1
undertook 1
until 1
urge 1
valuable 1
vehmic 1
vere 1
victory 1
vii 1
warn 1
warned 1
was 17
watches 1
way 2
welcomed 1
were 7
when 4
where 2
which 2
while 1
whispered 1
who 5
whom 1
wife 1
with 16
wrest 1
yorkists 1
young 3
younger 1
youths 1
