15166062
/m/03hkhqb
/m/03hkhqb
Amitav Ghosh
2000
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
a 14
able 3
accordingly 1
advice 1
after 2
an 4
and 22
are 3
arrest 1
arrival 1
as 6
assistant 1
assistants 1
attendants 1
audience 1
away 1
awkward 1
beast 1
been 4
before 1
befriending 1
beginnings 1
begins 1
being 2
best 1
big 1
borrowing 1
boy 1
bridge 1
bright 1
british 4
building 1
built 1
burma 4
business 2
but 1
buy 1
by 4
calcutta 1
called 2
career 1
cash 1
cho 3
citizens 1
city 1
clump 1
coast 1
colleague 1
collector 3
colonial 2
come 1
comes 2
commercial 1
commodity 1
community 1
comparatively 1
conforms 1
connection 1
conspire 1
contact 1
course 1
daughters 1
does 1
doh 2
dolly 5
down 2
drama 1
dream 1
early 1
elastic 1
elephants 1
empire 2
enduring 1
enough 1
enshrined 1
enter 1
entire 1
entourage 1
entrepreneurial 1
epic 1
even 1
events 1
ever 1
everyday 1
evolving 1
exiled 1
expanding 1
expected 1
extradited 1
falls 1
families 2
family 7
feel 1
feelings 1
finally 1
find 1
firmly 1
food 1
for 4
forced 1
forests 1
friend 1
from 4
gap 1
girl 1
given 1
glass 1
glimpse 1
goa 1
granted 1
had 2
hands 1
happy 1
hardships 1
has 3
having 3
he 5
headstrong 1
hed 1
help 3
her 2
him 1
himself 1
his 10
house 3
however 1
hunger 1
ii 1
in 10
incumbent 1
india 3
indian 1
instantly 1
into 6
invasion 2
is 7
it 1
japanese 1
john 4
joining 1
journey 1
king 3
large 1
last 1
leave 1
life 3
lives 2
local 1
losses 1
love 1
loved 1
lover 1
lucrative 1
ma 3
made 1
make 1
makes 2
malaya 2
man 1
mandalay 2
markets 1
material 1
meal 1
meanwhile 1
member 1
merchant 1
miles 1
modest 1
money 1
more 2
multiethnic 1
name 1
new 4
next 1
north 1
novel 1
odd 1
of 29
oilmining 1
on 6
one 2
only 1
opportunist 1
outram 1
over 1
own 2
palace 1
partner 1
perilous 1
persuades 1
piece 1
place 1
plantation 1
port 1
post 1
povertystricken 1
practice 1
present 1
prides 1
princesses 2
properties 1
provide 1
quickly 2
rajkumar 11
rangoon 2
ratnagiri 3
receiving 1
recruit 1
regime 2
remains 1
resentment 1
reside 1
residence 1
return 2
revered 1
royal 1
rubber 2
running 1
sale 1
say 2
saya 4
scale 1
scattered 1
secure 1
settle 1
shadow 1
shape 1
she 1
small 1
some 2
sometime 1
spirit 1
spot 1
spots 1
stall 1
starts 2
stiffly 1
stirs 1
story 1
subsequent 1
success 1
successful 1
surprise 1
surroundings 1
surviving 1
take 1
takes 1
teak 2
teenage 1
than 2
that 3
the 42
thebaw 2
their 5
then 1
they 1
thibaw 1
this 1
thousands 1
through 2
timberyard 1
time 2
to 20
together 1
topple 1
towards 1
town 1
track 1
trade 1
transport 1
try 1
uma 2
undoubtedly 1
unfinished 1
up 1
vastly 1
via 1
villagedwellers 1
volumes 1
war 1
way 2
we 1
weave 1
west 1
what 2
which 1
whilst 1
wife 4
with 11
witnessed 1
woman 1
wood 1
work 1
working 1
world 3
wwii 1
yangon 1
yet 1
