159942
/m/0153kq
/m/0153kq
George Cockcroft

{"/m/02yq81": "Comic novel", "/m/014dfn": "Speculative fiction", "/m/01z4y": "Comedy"}
20th 1
21st 1
2326 1
a 12
about 1
according 2
account 1
adventures 2
after 1
also 1
american 1
an 3
and 11
arduous 1
as 5
attempt 1
away 1
barrel 1
be 3
benefit 1
book 5
books 2
born 1
boy 1
but 1
by 1
century 1
chances 1
claims 1
conclusion 1
condition 1
continuing 1
create 1
cure 1
deya 1
dice 1
die 1
does 1
down 1
drawing 1
educate 1
educated 1
effort 1
efforts 1
entire 2
fictional 1
figures 1
finds 1
football 1
for 3
forth 1
from 1
frustration 1
get 1
god 1
good 1
gospel 1
greatest 1
grown 1
gun 1
has 1
he 2
him 4
his 3
human 1
humans 1
in 10
including 1
industry 1
inefficient 1
interpretation 1
into 1
is 6
isnt 1
it 2
its 1
known 1
lightning 1
logical 1
long 1
luke 5
made 1
majorca 1
man 1
many 2
montauk 3
more 1
mother 1
movie 2
multifaceted 1
named 2
nation 1
navigator 2
new 1
not 2
of 15
on 3
one 2
or 1
other 1
possibly 1
preface 1
previous 1
pronounced 1
proves 1
providing 1
publishing 1
quest 1
result 1
rhinehart 2
rider 1
sadly 1
saviour 2
screenplay 2
search 1
sections 1
seem 1
sends 2
sickness 1
skills 1
so 1
something 1
stare 1
steal 1
story 1
style 1
such 1
taken 1
takes 1
terribly 1
that 2
the 23
their 1
then 1
there 1
this 1
to 11
tomato 1
tribe 2
truth 2
trying 1
turned 1
ultimate 2
up 2
useful 1
virgin 1
was 1
wave 1
way 1
ways 1
whim 2
whimsical 1
will 1
wim 7
with 1
written 1
