530285
/m/02m2p4
/m/02m2p4
Philip Pullman
2000
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
300 1
a 37
able 3
about 3
abyss 1
acceptance 1
accepts 1
access 1
accidentally 1
accompanied 1
across 1
adheres 1
adult 1
affection 1
after 1
afterwards 1
aged 1
agrees 1
air 1
akin 1
alethiometer 1
alethiometry 1
all 12
allies 1
allows 2
ally 1
alpine 1
also 1
although 2
amber 1
among 1
an 6
and 54
angel 2
angels 1
another 6
any 2
anymore 1
anything 1
appears 1
archangel 1
arctic 1
are 11
armor 1
armoured 1
army 6
arrests 1
as 10
asleep 1
asriel 15
assassin 1
assent 1
associated 2
assumed 1
at 6
atmosphere 1
atoms 2
attached 1
attack 2
attacked 1
attained 1
authority 3
avoid 1
away 2
balthamos 2
bar 1
baruch 2
battle 2
be 6
bear 3
bearer 1
because 3
been 2
before 2
begin 1
begins 1
behind 1
believes 1
beloved 1
bench 1
betray 1
between 2
black 1
boatman 1
botanic 1
both 2
break 1
bridge 1
build 1
building 1
but 6
by 9
byrnison 2
cage 1
call 1
camp 1
capture 1
captured 1
cat 1
caused 2
cave 2
cease 1
challenging 1
charon 1
chevalier 1
child 1
chough 1
citadel 1
cittgazze 2
civilizations 1
closed 1
clouded 1
college 1
combat 1
community 1
completely 1
complex 1
concentration 1
confess 1
conquer 1
considerably 1
consistorial 2
constructs 1
converge 1
corporeal 1
corresponding 1
coulter 7
couple 1
court 2
created 2
creation 1
creatures 3
crystal 1
culture 1
cut 2
cuts 1
cutting 1
daemon 4
daemons 5
dark 1
day 2
dead 7
deal 1
death 1
deceased 1
decide 2
decided 1
decides 2
deep 1
deeply 1
defeat 1
demand 1
demonstrates 1
depend 1
depth 1
desire 1
destroy 1
determined 2
devour 1
dies 1
different 1
directly 1
disasters 1
discipline 1
discomfort 1
dismay 1
dispatched 1
dissolve 1
dissolves 1
dissolving 1
dmon 1
dmons 2
do 3
door 1
dr 1
dreams 1
drink 1
drugged 1
due 1
during 1
dust 6
each 5
earlier 1
effects 1
elementary 1
elephantine 1
emotional 1
enabled 1
encounter 1
encouraging 1
end 2
enjoying 1
enter 1
entering 2
enters 2
entity 1
entry 1
enveloped 1
escape 4
escapes 1
escaping 1
establish 1
eventually 1
every 1
exception 2
exchange 2
exist 1
experience 1
experienced 1
exposure 1
extinct 1
fall 2
falling 1
falters 1
farewell 1
father 1
feeble 1
feel 1
feet 1
female 1
ferries 1
few 1
fight 1
final 1
find 1
finds 1
first 2
flies 2
flow 1
flying 1
following 1
for 7
forced 1
forces 3
form 2
formed 1
frailty 1
free 2
freeing 1
friend 2
from 11
fruit 1
full 1
gallivespian 1
gallivespians 3
garden 1
gardens 1
gathered 1
generates 1
get 2
ghost 1
ghosts 6
global 1
go 2
god 1
going 1
grace 1
gradually 1
greek 1
grummanwill 1
guiding 1
had 1
happened 2
harpies 4
has 9
have 8
having 2
he 8
hear 2
heaven 1
helmet 1
help 6
her 13
here 2
hereinafter 1
herself 1
hidden 1
hide 1
highest 1
him 10
himself 2
his 11
home 2
hope 1
how 1
however 2
idealised 1
in 20
infants 1
infectious 1
instead 1
instinct 1
intact 1
intelligence 1
into 13
intricate 1
iorek 7
ironically 1
is 20
it 1
john 2
join 1
jordan 1
joyless 1
keep 1
kill 2
king 1
kirjava 1
kiss 1
knife 8
known 1
lacquer 1
lady 1
land 2
language 1
large 3
later 2
laugh 1
leading 2
leads 2
learns 2
leave 1
leaves 1
lee 1
letting 1
level 1
life 2
lifeforms 1
lights 1
like 2
lips 1
live 2
lives 1
longer 1
looks 1
lord 8
lost 1
love 2
lyra 28
magisterium 5
make 1
malone 2
man 1
manage 1
many 2
marisa 3
marten 1
mary 9
meanwhile 1
meets 3
melt 1
mere 1
met 1
metatron 6
midsummer 1
migrating 1
mind 2
moment 1
moments 1
more 1
mother 2
mountain 1
mrs 6
mulefa 5
mulefas 1
multiverse 1
must 3
mutually 1
mythology 1
named 2
nature 1
near 1
nearby 1
new 3
news 1
no 1
northern 1
not 4
nothing 1
nourishing 1
novel 1
now 2
nun 1
oblivion 1
obvious 1
of 45
off 1
offers 1
on 5
one 2
only 1
open 3
opening 2
openings 1
oppression 1
order 2
original 1
other 5
out 1
own 6
oxford 1
pain 1
painful 1
panserbjrne 1
pantalaimon 1
parry 1
parrystanislaus 1
parslow 1
part 1
particles 1
pass 2
pay 1
pekkala 2
permanent 2
picnicking 1
pine 1
place 2
plants 1
point 1
possess 2
possessed 1
power 1
present 1
presumably 1
prison 1
process 1
promise 1
promised 1
promises 1
protagonists 1
purity 1
puts 2
quelled 1
quest 1
raid 1
rapport 1
rather 1
read 1
readers 1
realize 1
realized 1
realizing 1
realm 4
reasoning 1
reduced 1
reflects 1
refuses 1
regarding 1
regent 1
relocated 1
reluctant 1
remain 1
remains 1
reminded 1
remote 1
repairs 1
representing 1
represents 1
republic 1
rescue 2
rescued 1
result 2
results 1
retrieve 1
return 4
returns 3
reuniting 1
revealing 2
reveals 1
rich 1
right 1
river 1
roger 3
salmakia 4
same 1
sap 1
sapient 1
save 1
scheme 1
school 1
scoresby 1
seconds 1
see 3
seed 1
seedpods 2
seeing 1
sees 1
separated 1
serafina 2
sever 1
shadowcolored 1
share 1
shatters 1
she 17
short 1
similar 1
simply 1
sin 2
single 1
sleep 2
slivers 1
slowed 1
so 1
soldier 1
sole 1
souls 2
south 1
special 1
specter 1
spectres 2
spies 1
spirits 2
spyglass 1
stands 1
step 1
stepped 1
stop 1
stories 2
story 1
stranger 1
streams 1
strength 1
strike 1
study 1
subconscious 1
subsequent 1
subtle 4
suddenly 1
suggestion 1
suitable 1
survive 1
taken 2
taking 2
talk 1
talking 1
tea 1
telescope 1
tell 3
temporarily 1
tempter 1
ten 1
than 2
that 18
the 117
their 14
them 7
themselves 1
there 2
therefore 1
these 1
they 17
thin 1
think 2
thinking 1
thinks 1
this 2
three 2
through 3
throughout 1
thus 1
tialys 4
time 1
title 1
to 83
together 1
too 2
tormented 1
torn 1
trapped 1
travel 2
tree 1
trees 2
trying 1
turns 1
two 5
ultimate 1
unable 2
unite 1
unknowingly 1
until 1
upheavals 1
upon 1
use 1
uses 2
various 1
village 1
visible 2
visits 1
wake 1
want 1
warming 1
warn 1
was 1
wasteland 1
way 1
what 2
wheels 1
when 6
where 7
which 9
while 3
who 11
whom 2
why 1
will 28
window 8
witch 1
with 11
wonders 1
wood 1
world 19
worlds 9
worldwill 1
would 2
wraithlike 1
xaphania 2
year 1
years 2
yields 1
young 1
