16392407
/m/03wjc0y
/m/03wjc0y
Robert Zubrin
2007-11-10
{"/m/05h83": "Non-fiction"}
100 1
180s 1
500 1
a 11
able 2
about 1
absorbed 1
achieved 1
adding 1
additional 1
additionally 1
advantage 1
all 1
analysis 1
and 4
anne 1
any 3
anything 1
arabia 1
argued 1
argues 2
as 6
bankrupt 1
be 11
been 1
beneficial 2
benefit 1
between 1
biofuel 3
biofuels 1
both 2
brazil 1
can 4
cane 1
capability 1
carbonneutral 1
cars 3
case 1
catalytic 1
causing 1
colluding 1
combination 1
competition 1
competitiveness 1
concept 1
consumers 1
contends 2
converters 1
corn 1
could 1
countries 1
create 1
cripple 1
crop 1
demand 1
dependence 1
developed 1
developing 1
do 2
down 1
drive 1
due 2
early 1
easily 1
effect 1
electric 1
eliminate 1
enormous 1
ethanol 4
existing 1
expanding 1
extremism 1
farm 1
farmers 3
fermentation 1
few 1
ffv 1
financing 1
flexfuel 2
flexfueled 1
for 8
from 1
fuel 1
fuels 1
fund 1
further 1
gas 1
gasoline 3
global 1
glucoserich 1
greatly 1
has 1
have 4
high 1
hybrids 1
illegally 1
import 1
in 9
including 1
indeed 1
instal 1
institute 1
into 1
introduction 1
is 6
islamic 1
it 3
its 1
keep 2
key 1
korin 1
larger 1
longerterm 1
make 1
mandate 2
market 2
matter 1
may 1
methanol 2
methanolblended 1
more 1
nations 2
necessity 1
need 1
new 1
no 1
occurred 1
of 8
oil 5
on 4
only 1
opec 2
or 4
order 1
other 1
over 1
own 1
particularly 1
plant 1
potentially 1
powerless 1
price 2
pricecrash 1
prices 2
primarily 1
produce 2
produced 3
products 1
prompt 1
pumps 1
quickly 1
rest 1
result 1
resultant 1
retrofitted 1
run 1
saudi 1
security 1
should 1
sides 1
situation 1
sold 1
solution 1
some 1
standard 1
states 3
stations 1
subsidize 1
subsidized 1
substitute 1
succeed 1
such 2
sugar 2
switch 3
tariffs 1
terror 2
that 8
the 21
their 5
there 1
therefore 1
thereof 1
these 1
they 1
thirdworld 2
this 4
through 1
to 19
turn 1
under 1
united 3
us 1
used 1
vehicle 1
vehicles 1
very 1
via 1
war 2
way 1
wealth 1
western 2
which 1
while 1
winning 1
with 3
without 1
world 2
would 9
years 1
zubrin 5
