2860494
/m/087dsy
/m/087dsy
Robert Ludlum
1982-02-12
{"/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
a 25
academic 1
accepts 1
accidental 1
acknowledged 1
across 1
advised 1
advisors 1
affects 1
after 1
against 1
agent 4
agree 1
agreeing 1
alive 1
all 2
allies 1
allow 1
allowing 1
along 1
also 2
ambush 1
amounts 1
an 11
and 25
anglicized 2
another 1
anton 2
anybody 1
anyone 1
are 3
areas 1
arthur 2
as 5
at 4
athens 1
available 1
back 1
baylor 2
be 4
because 1
been 7
before 2
beginning 1
begins 1
being 2
believed 1
believes 1
berquist 2
best 1
beyond 1
black 1
block 1
body 1
bodyguards 1
bond 1
both 1
bradford 1
branch 1
brava 2
breaks 1
brilliant 1
bulldozer 1
bullet 1
burn 1
but 4
by 7
called 1
can 1
car 1
charles 1
child 1
china 1
cliff 1
colonel 2
completely 1
compromise 1
conclude 1
confirmed 1
consequently 1
considering 1
consular 3
consulate 1
contact 1
convinced 1
costa 2
could 1
countries 1
cover 1
crushed 1
czech 1
deceived 1
decide 1
decides 1
deep 1
demands 1
demonstrate 1
denies 1
department 1
departments 1
desperate 1
destroyed 1
died 1
director 1
division 1
documentary 1
documents 3
does 1
doing 1
double 2
down 1
driven 1
each 2
eager 1
else 1
emory 1
ends 1
enemy 1
england 1
entire 2
especially 1
europe 1
everalert 1
evidence 3
execution 2
fact 1
fanatical 2
far 1
farm 1
fellow 1
few 1
finally 3
find 1
finds 2
flanks 1
flees 1
for 10
forces 1
former 1
friend 1
frightened 1
from 2
gain 1
gas 1
genius 1
get 1
goes 1
gone 1
government 2
graduate 1
grenade 1
gun 1
guns 1
had 8
has 11
havelock 10
having 1
havlek 1
he 24
hearing 1
help 1
her 3
highly 1
hill 1
him 8
himself 2
hired 1
his 7
house 1
how 1
however 5
huge 1
identified 2
immediately 1
in 15
indicates 1
infancy 1
informed 1
innocence 1
insane 2
insanity 3
intelligence 3
intention 1
into 1
is 16
isolated 2
it 1
its 1
jenna 10
just 3
karas 5
karasova 1
keep 1
kgb 3
kill 3
killings 1
kontra 1
lashes 1
later 1
leaves 1
less 1
lest 1
lidice 1
lie 1
life 1
linked 1
lived 1
loathes 1
love 1
loyalties 1
makes 1
man 2
marked 1
massacre 1
matter 1
matthias 6
meanwhile 1
meet 1
meeting 1
mercinares 1
michael 10
mikhail 1
mole 1
move 1
much 1
mudured 1
murder 2
murdered 1
murderous 1
murders 1
must 1
negotiated 1
networks 1
new 1
no 1
not 4
novel 2
nuclear 3
of 33
off 1
office 1
officer 1
offshoot 1
ogivile 1
ogpu 1
on 2
once 1
one 4
only 1
operation 1
operations 2
operatives 2
opposed 1
ops 1
order 1
ordered 1
other 1
out 4
own 2
paid 1
palatine 1
paminyatchik 2
paranoid 1
parsifal 5
part 1
parties 1
partner 1
party 1
pennsylvania 1
people 1
pierce 12
placed 1
position 1
power 1
powers 1
prarsifal 1
president 1
previously 1
problem 1
produced 1
proved 1
provoke 1
pursues 1
pyotr 1
quest 1
ransom 2
rather 1
razvedka 1
realize 1
realized 1
realizes 1
red 1
regular 1
released 1
representing 1
republic 1
republics 1
rome 2
rostov 4
russian 2
sacrifice 1
safe 1
schizophrenic 1
school 1
search 1
secretary 1
sees 1
senior 1
sent 1
sets 1
several 2
she 3
shot 1
sightseeing 1
since 1
so 1
socialist 1
solicits 1
some 1
somehow 1
something 1
source 1
soviet 2
special 1
spy 1
stabbing 1
state 4
states 3
station 1
stop 1
strategists 2
stretch 1
strike 1
string 1
successfully 1
successive 1
survivors 1
taken 1
taking 2
tells 1
terminate 1
terminated 2
than 1
that 16
the 45
their 1
theirs 1
them 4
then 4
thereby 1
they 5
third 1
this 1
those 1
throughout 1
time 2
to 21
together 1
told 2
touch 1
traces 1
train 1
treaties 1
tried 1
triggering 1
true 1
trusted 3
trying 1
turn 1
two 2
under 1
undersecretary 1
undiscovered 1
union 1
united 3
up 2
us 4
uses 1
using 1
vast 1
version 2
visited 1
vkr 3
voennaya 1
war 2
warn 1
was 5
washington 1
were 2
when 3
where 1
who 7
with 9
witnessed 1
work 1
working 2
works 1
world 2
