3775648
/m/09_ccw
/m/09_ccw
Bruce Coville
1994
a 13
abandon 1
about 2
accepts 1
actually 1
adventures 1
affect 1
after 1
agrees 1
alien 1
all 2
also 3
an 1
and 15
another 2
anyone 1
apprentice 1
are 5
arts 1
as 6
ask 1
asks 1
back 1
bait 1
banished 1
battle 1
be 1
became 1
become 1
begins 1
being 1
between 2
bkr 6
blacks 1
blue 1
bonds 1
bratty 1
brother 1
but 5
by 6
called 1
can 2
captain 1
captive 2
captures 1
castle 2
caught 1
cause 1
chaos 2
chibling 1
companion 1
comrade 1
confrontation 1
contacted 1
continues 1
cousin 1
crashed 1
create 1
creature 1
crew 6
cries 1
crosses 1
damaged 1
dangerous 1
defeat 1
delivered 1
despite 1
did 1
dimension 7
dimensions 1
direct 1
disappearance 1
dismay 1
drove 1
during 5
earth 1
effects 1
egg 1
else 1
elspeth 3
enough 1
escape 1
even 1
eventually 1
father 2
ferkada 1
ferkel 7
finally 1
find 1
finds 1
first 1
flinders 9
following 1
for 5
forced 1
form 1
friend 3
from 3
furry 1
fuse 1
gain 1
gains 1
galactic 2
galuspa 1
get 1
gibbons 1
gift 1
gigantic 2
giving 1
go 1
good 1
grakker 1
grow 1
handed 1
happened 1
has 1
he 11
headed 1
height 1
held 1
help 3
heroes 1
him 7
himself 1
his 14
hole 1
home 4
horrific 1
i 1
imprisoning 1
in 9
insane 1
intend 1
into 4
is 8
it 1
joined 1
journey 1
jumped 1
just 1
kellis 2
king 1
knowledge 2
knows 1
krevlik 1
later 1
leak 1
learn 1
learns 3
least 1
left 2
life 1
like 1
link 1
little 1
looking 1
make 2
martial 1
merkel 1
mind 1
missing 1
monster 3
monsters 1
mother 1
much 1
must 1
my 1
native 1
new 3
now 1
of 20
off 1
old 1
older 1
on 3
once 1
one 2
opportunity 1
or 1
others 1
our 2
out 3
over 2
own 1
part 1
partially 1
patrol 2
permanent 1
permanently 1
person 1
plan 1
planet 1
plans 1
prepares 1
prison 1
q 1
quake 2
quakes 3
questions 1
race 1
readily 1
reality 6
really 1
remaining 1
rescued 1
resulting 1
returning 1
revelations 1
revenge 2
rod 15
room 1
sadistic 1
sand 1
save 1
see 2
sees 2
seven 1
shapeshifters 3
shift 1
ship 2
ships 1
simply 1
single 1
sister 1
slightly 1
smorkus 9
sneakers 3
snout 3
so 1
something 1
soon 1
spacecraft 1
spar 2
spent 1
spying 1
stand 1
stop 1
stranded 1
strange 1
suffer 1
taken 1
taking 1
tar 2
teacher 1
telepathic 1
telling 1
than 1
that 16
the 50
their 8
them 4
then 2
these 1
they 7
this 3
time 2
ting 4
to 27
training 1
transformed 1
trap 1
two 2
under 1
up 2
use 1
valley 3
villainous 1
wait 1
waiting 1
wakes 1
wants 1
was 4
watching 1
way 1
ways 1
were 2
what 1
when 4
where 1
which 1
while 1
who 1
will 1
winds 1
with 5
without 1
wongovia 4
works 1
world 1
worries 1
would 2
x 5
