2052886
/m/06hsqc
/m/06hsqc
Ben Elton
1991
{"/m/02xlf": "Fiction", "/m/026ny": "Dystopia"}
a 6
accidents 2
ahead 1
almost 1
alternative 1
an 2
and 2
argues 1
as 2
author 1
aware 1
because 1
bigger 1
book 1
bring 2
chaos 1
city 1
clashes 1
climax 1
congestion 1
could 1
create 1
critical 1
days 1
deliberately 1
depicts 1
do 1
entire 1
even 1
excuse 1
few 1
for 1
forces 1
generate 1
government 2
governmentbacked 1
halt 1
has 1
have 1
heavy 1
highly 1
his 1
historically 1
ideology 1
ignored 1
in 5
indeed 1
instigate 1
investment 1
is 4
it 1
key 1
levels 1
london 2
long 1
major 1
mass 1
misguided 1
more 2
nearfuture 1
necessary 1
network 1
new 1
novel 1
of 3
places 1
plans 1
policy 1
possibly 1
press 1
pressure 1
problem 2
program 1
public 1
railways 1
reached 1
relieve 1
resulting 1
roadbuilding 2
roads 1
run 1
scheme 1
sees 1
several 1
shadowy 1
simply 1
simultaneous 1
since 1
so 1
standstill 1
such 2
systems 1
tended 1
that 2
the 15
this 1
to 5
traffic 3
transport 1
used 1
view 1
which 2
whole 1
with 2
