702179
/m/0340mk
/m/0340mk
Alastair Reynolds
2002-12-31
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel", "/m/03lrw": "Hard science fiction", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/0c3351": "Suspense"}
2605 1
3 1
50 1
a 19
abandoning 1
able 3
about 3
absolution 1
across 1
activation 1
actually 1
addition 1
advanced 1
against 4
agent 1
agrees 1
aide 1
alerted 1
alien 1
alive 1
all 2
allowed 1
along 2
also 1
although 2
an 6
ana 1
and 42
andromeda 1
animation 1
another 1
answers 1
antoinette 4
any 2
appears 1
ararat 1
are 7
army 2
around 2
arrive 1
arrives 2
arriving 1
as 9
asides 3
astronomers 1
at 3
attacks 2
attempt 2
attempting 1
attempts 1
back 1
bax 2
be 11
beat 1
because 2
been 6
begin 1
begins 2
begun 1
believe 1
believes 3
belt 1
betalevel 2
between 1
billion 1
bird 2
boarding 1
book 1
brannigan 1
brutal 1
building 1
buries 1
but 3
buy 1
by 9
cache 7
called 1
can 3
capability 1
captain 2
capture 1
captured 1
cataclysm 1
catastrophe 1
catch 1
cause 1
caused 1
chance 1
chasm 1
circles 1
city 1
civilizations 4
claims 1
clavain 17
climax 1
close 1
collide 1
collision 4
colony 1
come 2
coming 1
commit 1
communication 1
communications 1
completed 1
components 1
conflict 1
conjoiner 9
conjoiners 6
construction 1
contact 1
continue 2
continues 1
control 3
controls 1
converge 1
convince 1
convinced 2
convincing 1
could 1
createbecome 1
creative 1
crew 2
damage 3
damaged 2
dan 1
daughter 1
dawn 1
dealt 1
decades 1
defects 1
defend 1
degraded 1
degrading 1
demarchists 1
departs 1
deploying 2
described 1
destroyed 1
detecting 1
determine 1
determined 1
determines 1
develop 1
diffuse 1
direct 1
discovered 2
discovers 1
dismantling 1
doomsday 1
down 1
dream 1
due 1
during 6
dying 1
each 1
early 1
easily 1
effect 1
egalitarian 1
employing 1
enabling 1
encountered 1
endeavors 1
ends 1
enlisting 2
escape 1
establishing 1
evacuate 3
evacuated 1
evacuation 2
event 1
events 2
eventually 1
exceed 1
explain 1
explaining 2
exploration 1
extinction 1
facing 1
failure 1
faring 1
father 1
felka 3
few 2
fight 2
figure 1
filled 1
finally 1
find 1
fleet 2
followed 1
following 1
for 8
force 1
founder 1
from 3
future 2
galaxies 1
galaxy 7
galiana 4
gap 1
gas 2
giant 2
give 1
greater 1
h 5
habitats 1
had 3
hades 1
half 1
handover 1
happened 2
has 6
have 7
he 8
head 1
headquarters 1
help 3
helped 1
her 8
higher 2
him 4
his 4
history 2
hope 3
however 2
humanity 4
hyperpigs 1
if 2
ilia 1
in 33
individual 1
inertia 1
inertial 1
infinity 4
information 1
informs 1
inhibitor 1
inhibitors 17
injuries 1
intellect 1
intelligent 2
into 2
investigating 1
is 17
isolated 1
it 7
john 1
join 1
juggler 1
kept 1
khouri 3
kill 1
killed 1
known 1
largely 1
laser 1
last 1
later 2
lead 1
leadership 1
learn 1
leaves 1
leaving 1
left 1
lengthy 1
life 3
light 7
limps 1
lines 2
location 1
longdistance 1
lost 1
major 1
manipulations 1
matrix 1
may 2
melding 1
millennia 1
mind 1
mission 3
moons 1
more 2
most 1
mother 3
motivation 1
moving 1
mysterious 2
nanotechnological 1
near 1
necessary 1
need 1
negotiate 2
negotiations 1
nest 3
nevil 1
new 1
news 1
no 1
nostalgia 4
not 4
novel 6
now 2
occasional 1
occur 1
of 29
often 1
on 6
once 1
one 2
only 2
open 1
orbital 1
order 1
original 1
other 2
our 2
over 3
own 1
party 1
past 1
pattern 1
peaceful 1
people 1
perform 1
performance 2
pigs 1
place 1
places 1
plague 1
planet 2
planets 3
plans 1
plot 1
point 1
ponders 1
predicted 1
presence 1
previously 1
problems 1
project 1
pursuing 1
pursuit 1
pushing 1
race 1
raid 1
ready 1
rebel 1
reclaim 1
recover 2
reduce 1
rejects 2
remain 1
remontoire 3
requests 3
required 1
rescues 1
resisting 1
resolve 1
resort 1
resources 1
rest 1
resume 1
resurgam 6
return 1
returned 1
reveal 1
revealed 1
reveals 2
revelation 2
right 1
ring 1
roc 1
rocky 1
roughly 1
rust 1
same 1
scarce 1
scientifically 1
scorpio 3
secret 2
secrets 1
see 1
sent 1
several 2
severely 1
she 7
shepherd 1
ship 4
ships 3
sides 1
simply 1
simulation 1
skade 15
so 3
society 1
soon 1
space 4
species 1
speed 1
speeds 1
spread 1
stages 1
stand 1
star 3
stars 2
starships 1
start 1
still 1
storm 2
story 1
strategies 1
struggling 1
subverted 1
successful 1
such 1
suffered 1
suicide 1
superior 1
supplies 2
supply 1
support 1
suppression 2
surface 1
survival 1
suspended 1
sylveste 1
system 4
systems 1
taken 1
takes 2
taking 1
tangerine 1
tasked 1
technology 2
ten 1
terms 1
that 25
the 110
their 8
them 3
theoretically 1
there 1
these 3
they 7
this 5
thorn 2
those 1
thousand 1
threat 1
three 1
through 1
time 1
to 52
touch 1
towards 1
transmission 1
triumvir 1
try 1
turn 1
two 3
unaware 1
under 1
underground 1
undertake 1
unleashed 1
unnamed 1
up 1
used 3
using 1
various 1
version 1
very 1
vessel 1
vessels 1
volyova 7
waiting 1
war 1
was 5
weapons 12
well 1
were 2
what 2
when 5
where 1
which 5
while 2
who 7
wholesale 1
wide 1
will 6
with 12
within 1
woman 1
would 3
year 1
years 3
yellowstone 4
zodiacal 6
