448860
/m/029r38
/m/029r38
Noël Coward

a 24
about 3
absentminded 1
act 1
acted 1
acting 1
action 1
actress 1
adds 1
adverb 1
affair 1
after 1
afternoon 1
aghast 1
agrees 1
alerts 1
all 1
alone 1
along 1
aloud 1
always 1
amuse 1
and 38
announces 1
announcing 1
another 1
approaching 2
are 8
arrival 1
arrive 1
artistic 1
arundel 1
as 5
asks 2
at 5
awkward 1
be 1
been 2
before 1
begin 1
beginning 1
begins 2
behave 1
being 1
benefit 1
berkshire 1
bliss 4
blisses 2
blown 1
bohemian 1
book 1
both 2
bout 1
brainless 1
breakfast 3
breaking 1
breaks 1
brother 1
bursts 1
but 3
by 6
car 1
chapter 1
charades 1
chastely 1
claim 1
clara 2
collect 1
columns 1
comes 2
comments 1
concentrating 1
concorde 1
conducting 1
connect 1
consulting 1
conversation 2
cookham 1
coryton 1
cue 1
david 10
days 1
dazed 1
de 1
decide 1
decided 1
delay 1
detail 1
dialogue 2
dinner 1
diplomat 1
discover 1
discuss 1
displays 1
distracted 1
do 2
does 2
door 2
doorbell 1
down 2
drags 1
dresser 1
drive 1
dutifully 1
each 2
eating 1
element 1
emerge 1
emoting 1
ends 2
engaged 1
enjoy 1
ensuing 1
enter 4
enters 3
escapes 1
eventually 1
everyone 2
exaggerating 1
exchange 1
exit 1
exits 1
explains 1
extraordinary 1
faint 1
falling 1
family 6
fan 1
father 1
final 1
finds 1
finish 1
finishing 1
first 1
flapper 1
flight 1
flirtation 2
flirts 1
floor 1
flounder 1
for 4
former 1
four 5
from 4
fullscale 1
further 1
game 6
garden 1
geography 1
gives 1
go 1
goes 1
going 1
goodhearted 1
gossip 1
greatham 1
grinds 1
guess 1
guest 1
guests 6
had 1
hall 2
halt 1
happily 1
has 5
he 3
hear 1
height 1
helps 1
her 6
herself 1
him 1
his 3
hits 1
house 3
housekeeper 1
how 3
hurling 1
i 1
if 1
immediately 1
in 19
indulge 1
insists 1
insults 1
interrupted 1
into 5
invited 2
is 10
it 2
jackie 5
join 2
judith 14
june 1
just 1
kisses 1
kissing 2
la 1
laid 1
latest 1
laughter 1
law 1
leave 1
left 1
library 6
life 1
light 1
little 1
london 1
love 2
mad 1
makes 1
manner 1
manuscript 1
melodramatic 2
members 1
mere 1
minor 1
mirrors 1
momentarily 1
morning 1
most 1
mother 2
motor 1
must 2
myra 4
nervously 1
news 1
next 2
night 2
no 1
nobly 1
nonplussed 1
nonplusses 1
normal 1
not 2
notice 1
novel 1
novelist 1
now 2
of 22
old 1
on 3
once 1
one 3
only 1
opens 1
or 1
other 2
others 2
out 5
outside 1
overcome 1
overreacts 1
overtheatrical 1
papers 1
paris 1
parlour 1
passage 1
passes 1
people 2
performance 1
person 1
place 1
play 1
played 1
playing 1
plays 2
private 1
proposes 1
read 1
reading 1
really 1
renouncing 1
rest 1
retired 1
retreat 1
return 3
richard 5
ringing 1
river 1
row 2
rude 1
rue 1
rushes 1
sainthonor 1
sandy 10
saturday 1
say 1
scene 3
seize 1
serious 1
served 1
set 1
she 7
should 1
silence 1
simon 6
sister 1
slam 1
so 1
some 1
someone 1
sorel 8
sort 1
sound 1
sporty 1
stage 1
stairs 1
star 1
stilted 1
sunday 1
table 1
takes 1
talking 2
tea 1
tears 1
thames 1
that 10
the 61
theatrical 2
theatricality 1
theatrically 1
their 9
them 5
themselves 2
then 1
these 1
they 14
things 1
this 4
though 1
thought 1
tiptoe 1
to 22
together 1
too 2
tormented 1
total 1
trot 1
turn 1
two 1
tyrell 1
uncomfortable 1
uncomprehending 1
unwritten 1
up 3
uproar 1
upstairs 1
vampish 1
variety 1
very 1
violently 1
visitors 1
was 1
weekend 1
were 2
what 2
when 4
whether 1
which 3
whirlwind 2
who 1
whom 1
with 7
without 2
wrapped 1
yes 1
yet 1
young 1
