2150808
/m/06qjcm
/m/06qjcm
Tim Dorsey
2004-02-03
{"/m/0lsxr": "Crime Fiction"}
16 2
18 1
a 11
accidentally 1
allegedly 1
along 1
also 1
and 10
are 2
array 1
as 2
at 5
attendees 1
be 1
beach 1
been 2
before 1
beginning 1
biggest 1
boss 1
both 1
by 1
captured 1
castro 1
chattahoochee 1
chi 2
circumstances 1
city 2
close 1
columnist 1
committed 2
convention 1
country 1
cuba 1
days 1
death 1
deathmarchtour 1
decides 1
dimwitted 1
disappearance 1
ditched 1
diversion 1
drunken 1
during 1
earlier 2
eight 1
embarrass 1
escapes 1
explain 1
fbi 1
few 1
finance 1
finds 1
florida 1
for 1
forty 1
forward 1
friend 2
friends 1
from 1
government 1
grandfather 4
grandson 1
group 1
grows 1
habits 1
happens 1
has 1
have 1
he 4
highlighting 1
his 13
hospital 1
however 2
in 4
incurring 1
industry 1
instability 1
insulted 1
interests 1
into 1
investigating 1
involved 1
involves 1
is 4
jewel 1
just 1
keep 1
kidnap 1
kill 1
known 1
last 1
leave 1
lenny 4
lesser 1
letting 1
living 1
long 1
lucrative 1
many 1
matter 1
may 1
mental 1
miami 1
mob 2
mobster 1
more 1
mother 1
named 1
new 1
newest 1
newspaper 1
not 1
novel 1
novels 1
obsession 1
ocean 1
of 13
on 2
once 1
one 2
over 1
own 1
pair 1
passed 1
patiently 1
personally 1
phantasmagoric 1
planning 1
previous 1
projects 1
protection 1
psychiatric 1
publicly 1
quest 1
question 1
regime 1
reluctant 1
salesmen 1
same 1
serge 10
series 1
service 1
shortly 1
shuffle 1
side 1
sight 1
skips 1
so 1
solve 1
somehow 1
start 1
states 1
still 1
stingray 1
storms 1
suicide 2
supposed 1
surrounding 1
tabs 1
tagging 1
talk 1
that 2
the 21
theft 1
their 1
them 1
then 1
this 1
time 2
tired 1
to 10
tour 1
tourism 1
tours 1
tries 1
understandably 1
unique 1
united 1
up 1
views 1
wandering 1
well 1
when 1
where 2
which 1
while 1
who 1
with 2
women 1
wrath 1
year 1
years 2
york 1
