3603894
/m/09pbmt
/m/09pbmt
Denise Ciencin
2003-09-01
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 3
acceptance 1
against 1
all 2
and 3
as 1
at 1
being 1
buffy 2
but 2
by 2
coworkers 1
dawn 1
different 1
even 1
figure 1
find 1
friends 2
gang 1
goes 1
goingson 1
group 2
has 2
he 3
her 4
his 1
how 1
in 1
into 2
is 2
knit 1
lives 1
man 1
meanwhile 1
missions 1
mystical 1
name 1
new 2
not 1
odd 1
of 4
on 1
or 1
other 1
out 1
outside 1
parts 1
people 1
professor 1
put 1
random 1
refuses 1
retrieve 1
say 1
scooby 1
sent 1
simon 2
slayage 1
so 1
something 1
sources 1
start 1
straightlaced 1
suddenly 1
sunnydale 1
swept 1
sword 2
that 1
the 5
their 1
them 1
they 1
through 1
ties 1
tight 1
to 5
together 1
try 1
turn 1
university 1
wants 1
when 1
who 1
why 1
willow 1
with 4
xander 1
