13130092
/m/02z7vxk
/m/02z7vxk
Eleanor Hibbert
1990
{"/m/0hwxm": "Historical novel"}
14 1
1485 1
1541 1
a 19
abbey 1
about 3
absence 1
accepts 1
after 6
again 3
age 1
alerts 1
all 1
along 2
aloof 1
also 2
ambition 1
an 1
and 42
anjou 1
anne 28
annulled 1
another 1
are 2
arranges 1
as 12
asks 1
assume 1
at 2
attracted 1
away 2
back 3
barnet 1
barring 1
battle 3
be 6
becomes 2
been 1
before 2
begins 1
believe 3
believed 1
believing 1
betrothed 1
better 1
birth 2
bona 1
bosworth 1
bride 2
brother 3
but 2
by 7
calamitous 1
cecily 1
chagrin 1
child 1
children 5
choice 1
choose 1
christened 1
clarence 1
commoner 1
confronts 1
considered 1
consort 3
countryside 2
court 2
crucial 1
daughter 4
days 1
death 4
decided 1
delighted 1
deposed 1
despite 2
did 1
died 1
dies 7
discover 2
discovered 1
disgusted 1
disillusioned 1
dismayed 2
distraught 1
distressed 1
does 1
downfall 1
dreaded 1
drugs 1
duchess 2
duke 1
dying 1
dynasty 1
earl 2
eclipse 1
edward 12
eightyearold 1
elizabeth 5
england 4
english 3
enthralls 1
entire 1
envelop 1
eventual 1
eventually 1
executed 1
eye 1
facade 1
fall 1
family 2
fate 2
father 5
favor 1
fear 1
fears 1
five 2
for 6
force 1
forgives 1
french 1
from 2
future 3
george 7
gets 1
girl 1
girls 1
give 1
gives 2
gloucester 1
greatly 1
grey 1
grief 1
growing 1
guardian 1
had 4
happier 1
has 5
have 4
he 3
head 1
health 2
heir 1
help 1
henry 2
her 42
him 2
himself 1
his 11
horrified 1
horror 1
hurt 1
husband 3
illegitimately 1
illness 1
imbalances 1
imprisoned 1
in 14
including 1
infant 1
informs 1
inheritance 1
inlaws 1
invalid 1
invites 1
is 23
isabel 12
it 1
jeopardized 1
joins 1
just 1
king 12
know 1
knows 1
lancastrian 1
last 2
late 2
leads 2
learn 2
leaving 2
life 1
living 1
long 1
love 1
maid 1
making 1
maligned 1
manages 1
many 1
margaret 7
marriage 6
married 1
marries 2
marry 3
meet 1
meets 1
memoirs 2
mentally 1
mistake 1
mistress 2
mother 6
motherinlaw 2
move 1
much 3
mysteriously 1
narrator 1
nephews 1
neville 1
new 2
niece 1
night 1
noble 1
noblewoman 1
not 2
novel 2
of 36
older 1
on 4
one 1
onetime 1
only 1
ounce 1
out 1
over 1
own 1
paranoia 1
parents 1
part 1
people 2
placing 1
plans 1
plantagenet 2
played 1
position 1
power 1
pregnant 3
prince 2
princess 1
prisoner 1
proclaimed 1
prologue 1
proposes 2
queen 6
realizes 1
recalls 1
recently 1
refused 1
refuses 1
relatives 1
releases 1
reluctant 1
remains 1
reminiscing 1
rescues 1
respectively 1
restored 1
results 1
reunited 1
richard 18
rise 1
roses 2
rule 1
rumors 1
run 1
sanctuary 1
savoy 1
scullery 1
secretly 2
see 1
sent 1
servant 1
servants 1
setbacks 1
sets 1
several 2
severely 1
severs 1
shares 1
she 13
shocked 2
side 1
sights 1
silently 1
sister 1
sisterinlaw 1
slowly 1
so 1
soldiers 1
something 1
son 6
soon 6
spirited 1
spite 1
stepmother 1
stillborn 1
strength 1
studying 1
sudden 1
suddenly 1
taken 2
takes 2
tales 1
terrified 1
than 1
that 14
the 47
then 1
they 1
this 1
throne 3
through 1
ties 1
to 33
too 1
trace 1
travels 1
turn 1
tutelage 1
twice 1
two 2
under 2
unmentioned 1
unstable 1
until 1
up 1
usurping 1
vanish 1
vi 1
victim 1
wales 2
wanting 1
wants 2
war 1
wars 1
warwick 4
was 1
watchful 1
well 1
were 1
when 1
which 2
while 1
who 5
widowed 2
wife 1
will 2
with 13
without 1
woodville 1
worries 2
worse 1
would 1
write 1
writes 1
year 1
years 3
york 2
yorkist 1
young 5
younger 1
