8220003
/m/026wmvf
/m/026wmvf
Don DeLillo
1980
{"/m/05hgj": "Novel"}
a 2
adventures 1
american 2
and 5
appearance 1
appears 1
around 1
as 4
authorship 1
autobiography 1
birdwell 2
but 1
by 1
centering 1
character 1
cite 1
cities 1
comedy 1
delillo 3
distinctly 1
eccentric 1
end 1
engaging 1
experiences 1
fictitious 1
first 1
follows 1
footballthemed 1
former 1
further 1
games 1
her 2
his 1
hockey 1
humorous 1
icons 1
in 6
is 3
it 1
jay 1
later 1
lecturer 1
more 1
murray 1
narrated 1
new 1
nhl 1
noise 1
north 1
novel 4
obviously 1
of 2
on 3
play 1
playing 1
professional 1
proof 1
prose 1
rangers 1
readers 1
replete 1
satire 1
scale 1
second 1
sexual 1
similar 1
siskind 1
smaller 1
social 1
some 1
sportswriter 1
sportswriterturnedvisiting 1
story 1
teammates 1
the 11
they 1
though 1
to 2
travel 1
ways 1
white 1
who 1
with 1
woman 1
york 1
zone 1
