32112497
/m/0gx09bw
/m/0gx09bw
Ted Dekker
2011
{"/m/01hmnh": "Fantasy"}
a 6
about 1
accounts 1
adapted 1
after 1
alchemist 1
also 3
and 7
appears 1
as 5
baal 5
bats 1
be 1
beast 1
before 1
blood 5
book 5
both 1
briefly 1
called 1
certain 2
character 1
commissions 1
compiled 1
compiles 1
concept 1
contained 1
contains 2
content 1
counterparts 1
creatures 2
defeat 1
dekker 1
details 1
different 1
document 1
earth 1
enemy 1
entries 1
fearsome 1
featured 1
from 2
general 1
green 2
grushon 1
he 1
his 3
hunter 2
immanuel 3
implied 1
in 4
includes 1
including 1
information 1
interesting 1
into 1
is 2
it 4
journal 2
known 1
locations 1
main 1
man 1
marsuuv 1
master 1
mentioned 2
missing 1
more 1
mustul 1
mythical 1
new 1
nicolescu 1
not 1
novel 1
of 5
one 2
only 1
other 2
penned 1
place 1
plays 1
plot 1
queen 1
release 1
role 1
roush 1
saint 1
shataiki 2
significant 1
sketches 1
stolen 1
study 1
than 2
that 1
the 11
their 3
there 1
thomas 2
though 1
to 3
toma 3
took 1
uses 1
valerick 1
van 1
variety 1
various 1
veins 3
villainous 1
vlad 1
was 4
were 1
what 1
who 1
whom 1
within 1
world 1
year 1
