2135718
/m/06pfdf
/m/06pfdf
John Irving
2001-07-03
a 8
accident 1
achieves 1
after 2
allows 1
always 1
and 3
as 1
attached 1
awaits 1
baby 1
boston 2
but 1
by 2
child 1
clausen 2
contacts 1
dies 2
donor 1
doris 6
dr 3
eaten 1
explaining 1
falls 1
find 1
first 1
for 2
from 2
give 1
granted 1
gunshot 1
guy 1
had 1
hand 8
handthat 1
has 3
have 1
her 6
him 2
his 2
however 1
husband 4
husbands 1
immediately 1
in 4
india 1
instant 1
intimately 1
is 2
journalist 2
junior 1
late 2
later 1
left 2
lion 2
love 2
m 1
married 1
millions 1
nations 1
new 1
nicholas 1
not 1
notoriety 1
now 1
of 2
only 1
opportunity 1
otto 1
patrick 8
perform 1
pledges 1
prior 1
procedure 1
quickly 1
renowned 1
reporting 1
return 1
rights 1
room 1
rushes 1
selfinflicted 1
sex 1
she 1
story 1
successfully 1
suitable 1
surgeon 1
television 1
that 1
the 10
then 1
to 9
touch 1
transplant 1
tv 1
unable 1
unorthodox 1
video 1
viewers 1
visitation 1
waiting 1
wallingford 2
wanted 1
wants 1
was 1
watching 1
when 1
while 1
who 1
will 1
wisconsin 1
with 5
witness 1
woman 1
wound 1
york 1
zajac 3
