999653
/m/03y1qp
/m/03y1qp
Len Deighton


a 4
american 1
and 2
arctic 1
are 1
be 1
beginning 1
britain 1
british 1
britons 1
centres 1
cheap 1
coast 1
could 1
currency 1
days 1
eventually 1
financing 1
for 1
forged 1
from 1
germany 1
government 1
help 1
heroin 1
hide 1
horse 1
ice 2
ii 1
in 4
initially 1
interest 1
into 1
is 3
it 2
items 2
last 1
later 1
list 2
mdash 1
melting 1
missile 1
mix 1
of 3
off 1
on 2
plot 1
portugal 1
portuguese 1
prepared 1
prevail 1
puppet 1
reich 1
retrieving 1
revealed 1
revolution 1
sea 1
secret 1
set 1
should 1
submarines 1
sunk 1
switches 1
technology 1
that 1
the 13
then 1
third 1
thrown 1
title 1
to 4
true 1
type 1
uboat 1
under 1
up 1
vital 1
war 1
weiss 1
which 1
world 1
xxi 1
