1022544
/m/03_2x2
/m/03_2x2
Gabriel García Márquez
1985
{"/m/05hgj": "Novel"}
21 1
a 11
actually 1
adult 1
affair 2
after 1
age 2
aid 1
allowed 1
also 1
amrica 1
an 2
and 17
apparently 1
archaic 1
are 1
ariza 4
arizas 1
as 5
assistant 1
at 4
attempts 1
aunt 1
away 1
barbara 1
be 1
because 1
becomes 1
been 1
blossom 1
boldly 1
book 1
but 2
by 6
captain 1
cassiani 1
cataloging 1
characters 1
charity 1
chaste 1
chessplayer 1
cholera 1
comes 1
committed 1
communication 1
company 1
complicates 1
confesses 1
confessing 1
controls 1
counterpoint 1
cousin 1
daza 3
dazas 1
de 1
deadline 1
deep 1
delivering 1
despised 1
devoted 1
devotion 1
diego 1
doctor 1
driver 1
during 2
each 2
early 1
enamoured 1
end 4
entirely 1
eradication 1
escolstica 1
even 1
eventually 2
exams 1
failing 1
faithful 1
father 2
fermina 8
ferminas 1
few 1
florentino 11
florentinos 1
for 8
forced 2
fourteenyearold 1
from 1
function 1
genuine 1
girl 1
giving 1
guardian 1
had 1
has 1
have 2
having 1
he 6
her 9
herald 1
herself 2
hildebranda 1
him 3
his 3
however 1
husband 1
illustrates 1
importance 1
in 6
into 1
introduced 1
is 15
it 2
jeremiah 1
job 1
juvenal 1
kills 1
leo 1
leona 1
letters 1
life 1
limited 1
live 1
lives 1
lorenzo 2
love 7
loves 1
lynch 1
main 1
man 2
many 2
marriage 1
maternal 1
maturity 1
medical 1
meeting 2
miss 1
modernity 1
modernization 1
most 1
mother 1
mule 1
nature 1
never 2
niceties 1
not 1
novel 6
occasional 1
of 12
offer 1
old 1
on 1
one 2
opening 1
order 1
organized 1
other 2
out 1
personal 1
photographer 1
point 1
possibly 2
precisely 1
progress 2
promotion 1
proves 1
provide 1
public 2
rational 1
rcc 1
recognize 1
rejection 1
relationship 1
reputation 1
rescuing 1
respect 1
result 1
revealed 1
ride 1
riverboat 1
romance 1
romantic 1
saintamour 1
samaritano 1
school 1
science 1
security 1
seemed 1
seems 1
selfish 1
sent 2
set 1
sexual 1
share 1
she 8
snchez 1
society 1
spiritually 1
starts 1
stop 2
streets 1
suggest 1
suicide 2
that 2
the 31
their 7
them 2
they 1
this 1
though 1
to 19
together 1
towards 1
trnsito 1
trysts 1
two 1
ultimately 1
uncle 1
upon 1
urbino 6
utmost 1
values 1
vicua 1
was 2
weds 1
which 2
while 1
who 3
whom 1
whose 2
will 1
wisdom 1
with 4
woman 2
works 1
xii 1
years 1
youth 1
