5804157
/m/0f5tbf
/m/0f5tbf
Chuck Palahniuk
2007-05-01
{"/m/06nbt": "Satire", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 20
about 1
accomplished 1
acquires 1
advanced 1
after 2
all 1
along 2
also 1
an 3
ancestors 1
and 15
animal 1
animals 1
any 1
are 1
around 1
arrives 1
as 3
at 1
back 1
be 1
becomes 4
believed 1
bite 1
bites 1
bitten 1
black 1
body 1
born 1
buster 4
by 4
calls 1
can 2
car 3
casey 2
cause 1
certain 1
check 1
child 1
childhood 1
christmas 1
city 2
classes 1
clear 1
covert 1
crash 1
crasher 2
crashing 3
curfew 1
daytimers 1
death 2
demolition 1
derby 1
designated 1
dies 1
diploma 1
discovers 2
divided 1
during 2
dwellers 1
dystopian 1
early 1
echo 1
economy 1
effect 1
entity 1
epidemic 1
erection 1
erupts 1
event 1
eventually 3
falls 1
far 1
fate 1
fellow 2
finds 1
first 1
flag 1
for 3
forcefully 2
friends 1
from 2
future 1
game 2
get 2
getting 2
girl 1
given 1
go 1
graphic 1
green 1
happened 1
have 2
he 4
head 1
him 1
himself 1
his 5
however 1
human 2
immortal 1
implications 1
in 8
incest 1
infected 1
interviewees 2
into 4
involving 1
is 10
isnt 1
it 2
its 2
jar 1
just 1
kill 1
killed 1
large 1
latter 1
lawrence 1
leave 1
lifestyle 1
listened 1
local 1
love 1
make 2
making 1
many 1
married 1
massive 1
meets 1
middleton 1
millions 1
mind 1
missing 1
more 2
national 1
nationwide 1
nickname 2
night 1
nighttimer 2
nighttimers 1
not 1
novel 1
numerous 1
object 1
obsessed 1
of 9
off 1
on 6
once 1
open 1
oppressed 1
or 2
organized 1
organs 1
other 2
out 2
outbreak 1
outside 1
party 3
people 1
person 1
place 1
played 1
players 1
prank 1
pried 1
proportions 1
rabid 1
rabies 3
radio 1
rant 11
rather 1
rear 1
resembling 1
respectable 1
results 1
revolves 1
roof 1
rural 1
school 1
scrawled 1
senses 1
separate 1
set 1
share 1
shot 1
show 1
sick 1
sight 1
simms 1
small 1
smell 1
snakes 1
society 1
some 1
something 1
sound 1
speculate 1
speculations 1
spider 2
spiders 1
sport 1
starts 1
state 1
strange 1
streets 1
such 1
suspected 1
swept 1
synonym 1
takes 1
taste 1
taylor 1
television 1
than 2
that 9
the 22
their 2
them 1
themselves 1
then 2
they 3
this 2
those 1
threatens 1
through 1
throw 1
ties 1
time 2
to 11
too 1
town 3
toxic 1
traffic 1
tree 1
turn 1
turns 1
two 1
unknown 1
unsettling 1
until 1
up 2
urban 1
uses 2
venomous 1
victims 1
viewed 1
vomit 1
way 1
wealth 1
when 1
where 1
which 2
while 1
who 2
whom 1
widow 1
will 1
window 1
windshield 1
with 6
word 1
words 1
zombieinvasionlike 1
