2393822
/m/078zgl
/m/078zgl
Anya Seton
1965
1000 1
72 1
73 1
78 1
85 1
a 26
abbess 2
abbey 13
about 1
admit 1
admits 1
admitting 1
affair 2
after 6
alfred 1
alfrida 6
alfrith 1
alone 1
also 2
america 1
an 1
and 36
another 1
appreciate 1
archbishop 1
arles 1
arrives 1
arthur 1
as 3
at 7
attempt 1
aunt 4
away 2
back 1
bath 1
be 1
been 1
before 1
befriends 1
begins 1
being 1
belatedly 1
birth 3
blown 1
breaca 1
but 3
by 6
called 2
cannot 1
canterbury 1
capture 1
captured 1
care 2
castle 1
catches 1
caught 1
causes 1
charges 1
charlemagne 1
charts 1
christianity 1
claims 1
climate 1
coast 2
colonise 1
colony 1
comfortable 1
confirmed 1
continues 1
converted 1
corfe 1
cornwall 2
coronation 2
court 5
crew 1
culdee 1
culdees 2
daughter 1
de 1
death 4
deception 1
declares 1
defended 1
descendant 1
descended 1
despite 1
dies 3
disabled 1
disgusted 1
does 2
down 2
dumps 1
dunstan 3
dying 1
earlier 1
edgar 4
edward 2
elfled 3
embarks 2
emma 2
employment 1
employs 2
encounters 4
encouraged 1
england 5
english 2
enter 2
erik 1
escapes 1
eventually 2
fact 1
family 3
famously 1
father 2
feelings 2
few 1
finally 1
find 2
finds 2
follow 1
follows 1
for 7
friend 2
from 5
fulfills 1
gaining 1
girl 2
give 1
gives 1
glastonbury 3
go 1
goes 1
greenland 1
group 1
had 1
harsh 1
has 5
have 1
he 8
heart 1
her 28
him 4
his 6
holding 1
house 1
however 5
husband 3
i 1
iceland 1
illicit 1
in 16
influence 1
informs 1
instead 1
intends 1
into 3
introduces 1
ireland 1
irish 1
is 12
journey 2
ketil 6
king 8
kingdom 1
know 1
ladiesinwaiting 1
ladyinwaiting 1
last 1
later 2
leads 2
learns 2
leaves 3
let 1
lets 1
lfgifu 1
life 5
limerick 1
lineage 1
lives 1
living 2
longship 2
loves 1
lydford 1
make 2
makes 1
many 1
marries 1
meanwhile 1
meeting 1
meets 1
mentally 1
merewyn 37
merrimack 2
merwinna 4
monastery 1
monk 1
monks 1
mother 3
mouth 1
murder 1
native 1
new 3
nobility 1
nobleman 1
north 1
not 2
now 1
of 22
offcourse 1
old 1
oldage 1
on 9
one 2
ordained 1
order 1
orm 3
overseas 1
own 1
padstow 6
parentage 1
party 2
peoples 1
persuades 1
pilgrimage 1
place 1
plan 1
plans 2
prior 2
proceeds 1
product 1
promptly 2
provence 1
queen 12
raid 4
raided 1
raids 1
rape 2
realises 1
reconciles 1
red 1
refuses 1
rejected 1
rejects 1
rejoin 2
religious 2
request 1
rescue 1
return 1
returns 2
reveals 1
river 1
romantic 1
romieux 1
romsey 6
royal 3
rumon 30
sail 1
secrecy 1
seeing 1
set 1
settle 2
settled 2
settles 2
she 7
ship 4
shipwrecked 1
sigurd 2
sister 1
so 2
social 1
son 3
soon 1
starts 1
status 1
staying 1
steal 1
stopping 1
storm 1
story 2
subsequently 1
succeeds 1
succumbs 1
summoned 1
swearing 1
sympathises 1
take 2
taken 1
takes 3
tavistock 2
teenage 1
thane 1
that 9
the 46
their 1
thelred 2
then 7
there 1
this 1
thora 2
throne 1
time 1
to 40
too 2
tracks 1
travel 1
treachery 1
tribe 2
true 1
tryst 1
two 1
under 2
unresolved 1
used 1
viking 10
warrior 1
was 1
way 1
weakens 1
wealthy 1
welcomes 1
when 1
where 5
which 1
while 2
who 8
wintesses 1
wish 1
wishes 1
with 9
witness 1
witnessed 1
wulfric 3
year 2
years 3
young 2
