4992469
/m/0cyw58
/m/0cyw58
Adam Rapp
2003-03-01
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
10yearold 1
14yearold 1
33 1
a 14
abducts 1
abuses 1
addicted 1
after 2
along 1
an 2
and 9
arcade 1
are 2
as 1
at 1
baby 1
become 1
begging 2
black 1
bob 1
boobie 8
boy 1
brother 1
buick 1
by 2
cat 1
character 1
chicago 1
crazy 1
crew 1
curl 1
custis 6
darrin 1
decides 1
dilapidated 1
diving 1
drugs 1
dumpster 1
electricity 1
engaging 1
escapes 1
exmilitary 1
eyes 1
factory 1
farmer 1
finally 1
fingernail 1
flee 1
flowers 1
follow 1
follows 1
for 2
four 1
friends 1
from 2
girlfriend 1
has 1
having 1
he 1
herself 1
hiding 1
him 1
his 3
hole 1
home 2
house 1
illinois 1
in 9
into 1
is 2
joined 1
joliet 1
living 1
lou 1
makeshift 1
mall 1
motley 2
movie 1
murdering 1
name 1
nearby 1
no 1
of 2
orphan 1
overhearing 1
owned 1
owner 1
painted 1
paper 1
parents 2
pistol 1
police 1
private 1
prostitute 1
quarters 1
real 1
relationship 1
road 1
robbery 1
rockdale 1
searching 1
set 1
sexually 1
single 1
skylark 1
small 1
snowfish 1
snuff 1
soon 2
spots 1
star 1
steal 1
steals 1
stolen 1
strange 1
suburbs 1
supports 1
supposedly 1
take 1
tent 1
that 1
the 8
them 1
they 1
through 1
to 5
unstable 1
up 1
various 1
video 1
wall 1
was 1
way 1
while 1
who 4
whom 1
whose 1
with 4
woodland 1
woods 2
