10092893
/m/02q1kvs
/m/02q1kvs
Stanisław Lem
1951
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
108 1
2003 1
a 6
ability 1
about 2
above 1
after 2
an 2
and 8
antarctic 1
antigravity 1
arctic 1
area 1
arrives 1
artificial 1
as 1
be 1
before 1
built 1
but 1
by 2
chaos 1
circling 1
cities 1
civil 1
civilization 1
climate 1
commence 1
communism 1
computer 1
consisting 1
construction 1
contains 1
control 1
crash 1
crashed 1
crew 1
data 2
decides 1
describes 1
destroy 1
details 1
device 1
drops 1
during 1
earth 4
earthworks 1
electronic 1
ends 1
engaged 1
engineering 1
equipped 1
expedition 1
extraterrestrial 1
fall 1
fastforward 1
few 1
finds 1
found 1
freed 1
from 2
giant 1
gibraltar 1
gigantic 1
globe 1
government 1
great 1
half 1
halfdestroyed 1
has 1
humankind 1
hydroenergetic 1
hypothesis 1
identified 1
in 4
inhabited 1
intensity 1
international 1
introduction 1
irrigation 1
is 4
it 1
kosmokrator 2
kulik 1
later 1
latest 1
leaving 1
leonid 1
life 2
like 1
managed 1
marax 1
mentioned 1
message 1
meteorite 1
movement 1
newly 1
no 1
nuclear 1
nuclearpowered 1
object 1
occupy 1
of 13
ominous 1
on 2
only 2
oppression 1
out 1
over 1
perished 1
planning 1
plant 1
preparation 1
project 1
projects 1
radiated 1
radiation 1
record 2
records 1
regions 1
rotations 1
ruins 1
sahara 1
scared 1
scattered 1
scientists 1
send 1
spaceship 3
strait 1
strange 2
structures 1
subsequent 1
suns 1
technological 1
that 1
thaw 1
the 27
themselves 1
they 2
to 8
traces 1
travel 1
tubebased 1
tunguska 3
turns 1
two 1
vacuum 1
venus 4
war 1
warlike 1
was 1
weeks 1
when 1
which 1
white 1
will 2
with 2
won 1
worldwide 1
year 1
