18608969
/m/04gvsv4
/m/04gvsv4
G. Harry Stine
1982-04-01
{"/m/06n90": "Science Fiction"}
a 1
advanced 1
and 1
are 1
cannot 1
citizens 1
conceive 1
concepts 1
cultures 1
damaged 1
dangerous 1
directive 1
enterprise 1
existence 1
exposing 1
federation 1
find 1
flaring 1
for 1
forbids 1
home 1
in 1
interference 1
isolated 1
itself 1
less 1
mercan 1
mercanians 1
much 1
must 1
not 1
of 3
past 1
planet 2
prime 1
ready 1
repair 1
severely 1
societal 1
somehow 1
sun 1
the 6
their 2
they 1
to 2
uss 1
way 1
which 1
without 1
yet 1
