331967
/m/01x062
/m/01x062
Terry Pratchett
1989
a 21
abilities 1
accidentally 1
account 1
accounted 1
acquaintance 1
after 2
aid 1
an 4
ancient 1
and 18
ankh 1
ankhmorpork 6
another 1
anything 1
appearances 1
are 1
around 1
arrest 3
arrival 1
as 9
ask 1
assembled 1
at 1
attempting 1
back 1
bad 1
banished 1
battle 1
be 1
been 3
begins 1
being 2
bells 1
between 1
book 4
breeder 1
brethren 3
bring 1
broken 1
brotherhood 1
bunch 1
but 2
by 2
captain 1
carrot 6
causes 1
cell 1
changes 1
chord 1
chosen 1
cities 1
city 1
closes 1
colon 1
comfortable 1
concept 1
condition 1
control 1
controlling 1
corporal 1
courtship 1
created 1
crime 1
crowd 1
dartboard 1
day 1
death 1
demands 1
died 1
digestive 1
does 1
dragon 11
dragons 1
ebon 1
elucidated 3
engine 1
enthusiasm 1
errol 3
escape 2
eventually 1
fact 2
falling 1
fear 1
female 1
fights 1
first 2
floor 1
follows 1
for 5
form 1
forth 1
from 2
get 1
gives 1
gold 1
grand 2
guild 2
has 5
he 4
head 2
heir 1
help 2
helps 1
him 1
his 2
hit 1
however 1
ignore 1
imprisoned 1
in 6
incompetents 1
initially 1
install 1
instead 1
into 2
investigating 1
ironfoundersson 1
is 8
it 4
its 2
itself 1
jet 1
just 1
keeping 1
kettle 1
kill 1
king 5
knocking 1
laws 3
leader 1
leading 1
leads 1
legally 1
lets 1
librarian 2
licensed 1
life 2
lodge 1
lupine 1
magic 1
makes 1
man 2
mascot 1
master 2
memorised 1
modest 1
morpork 1
mostly 1
mouthpiece 1
ndash 2
new 2
night 2
nobbs 1
not 3
of 26
off 1
offers 1
on 2
once 1
only 1
orangutan 1
ordinances 2
out 1
overthrow 1
own 1
panic 1
patrician 3
pay 1
people 2
permitted 1
places 1
plead 1
plot 1
prevent 1
proceeds 1
proposes 1
puppet 1
put 1
quota 1
raise 1
ramkin 2
rats 1
regarded 1
regular 1
reinstated 1
relatively 1
reorganises 1
returns 1
revealing 1
reward 1
rid 1
ringing 1
ritual 1
ruler 1
runs 1
sacrificed 1
sacrifices 1
sam 1
same 1
secret 1
sergeant 1
shock 1
shortly 1
should 1
sky 1
slay 1
some 1
spies 1
state 1
stolen 2
stop 1
story 1
strike 1
strikes 1
successful 1
suitable 1
summon 2
supersonic 1
supreme 3
swamp 2
sybil 3
system 1
take 1
task 1
tea 1
terror 1
that 3
the 60
theft 1
their 1
them 1
they 4
thieves 2
thieving 1
this 2
throne 1
throw 1
to 17
told 1
tries 2
true 1
trying 1
two 1
tyranny 1
under 2
underdeveloped 1
unique 1
university 1
unseen 1
uses 1
using 1
vimes 6
virgin 2
volunteer 1
walk 1
want 1
was 1
watch 6
wave 1
when 1
which 1
who 4
will 1
with 5
wonse 1
