12256255
/m/02vxw1d
/m/02vxw1d
Morris Gleitzman


a 13
adults 1
after 4
all 2
also 1
an 1
and 17
are 6
awakes 1
barney 5
been 2
being 3
boy 1
breaks 1
burning 1
but 2
by 4
camp 1
carrying 1
catholic 1
caught 1
cellar 2
chaya 2
chickens 1
children 1
city 4
comes 1
crying 1
days 1
dead 1
death 1
dentist 1
does 1
empty 1
escape 1
escapes 1
families 1
father 1
felix 7
fever 1
few 2
find 2
finds 3
for 1
fragile 1
from 2
german 1
gets 1
ghetto 2
girl 3
go 3
goes 1
going 1
gone 1
group 1
has 1
have 2
he 11
her 2
him 1
his 4
hometown 1
house 1
ignore 1
impoverished 1
in 4
into 2
is 7
it 1
jewish 2
jews 2
joins 1
jump 1
keeps 1
kids 1
killed 1
large 1
led 1
left 1
let 1
little 1
long 1
lost 1
man 3
manage 1
many 1
mayve 1
more 1
mother 1
mountains 1
mysterious 1
nailed 1
name 2
named 1
nazi 1
nazis 3
next 1
not 2
number 1
of 4
off 1
old 1
on 4
once 1
one 2
open 1
orphanage 1
out 2
parents 2
persuades 1
planks 1
poland 1
recovered 1
recovers 1
refuse 1
rescued 1
rescues 2
rests 1
returns 1
sadly 1
saves 1
sees 5
she 3
shot 1
shut 1
so 1
soldiers 1
speaks 1
survive 1
taken 2
tells 1
tenyear 1
that 7
the 23
their 2
them 4
there 2
they 2
throwing 1
to 16
town 1
train 3
trying 2
two 1
unconscious 1
underground 1
van 2
wants 1
was 1
way 2
when 2
which 1
who 2
whose 2
with 1
wooden 1
zelda 4
