9595773
/m/02pl8ll
/m/02pl8ll
Andrew Clements
2001
{"/m/0dwly": "Children's literature"}
a 6
accomplish 1
acts 1
adult 1
age 1
agency 1
agent 1
almost 1
an 1
and 4
are 1
arrange 1
as 3
at 4
begins 1
best 1
books 1
but 2
called 1
cassandra 2
cheap 1
cheater 3
clayton 1
clutch 1
contract 1
could 1
day 2
doesnt 1
done 1
edit 1
editor 1
end 1
enlist 1
enough 1
fabricating 1
father 1
finally 1
find 1
for 2
friend 1
get 1
girls 1
good 1
help 1
her 6
hinted 1
is 6
it 4
junior 1
later 1
lawyer 1
literary 2
manuscript 1
mom 2
more 1
mother 2
ms 1
natalie 7
nelson 1
novel 2
of 1
offered 1
office 1
out 1
party 2
pseudonym 1
publication 1
published 1
publishing 1
realize 1
reisman 1
renting 1
school 1
she 3
sherry 1
shipley 1
show 1
some 1
someone 1
story 1
teacher 1
tells 1
that 4
the 10
their 1
they 3
thinks 1
this 1
to 5
twelveyearold 1
uncommon 1
use 1
uses 1
want 1
wants 1
when 1
who 2
will 1
works 1
write 1
writing 1
wrote 1
zoe 4
