7337727
/m/025zlzl
/m/025zlzl
Ann M. Martin
2005-10-01
{"/m/0dwly": "Children's literature"}
a 10
abandoned 2
addie 1
adopted 1
after 2
afterwards 1
again 1
an 4
and 15
another 1
are 3
around 1
at 3
attacked 1
autumn 1
away 1
backyard 1
be 1
behind 1
being 2
bone 4
both 1
broken 1
brother 1
but 1
by 6
car 2
closer 1
coax 1
cold 1
come 1
continues 1
daisy 1
day 2
decides 1
disappears 1
dog 3
dogs 1
each 3
end 1
enjoy 1
ever 1
family 2
female 1
finally 1
finds 1
following 1
food 1
for 4
forces 1
gain 1
gas 1
gets 1
gradually 1
had 1
happily 1
has 1
healing 1
her 7
herself 1
highway 1
home 1
house 1
in 6
injured 1
injuring 1
inside 1
instantly 1
is 8
joins 1
keep 1
killing 1
ladies 1
lady 2
later 1
leaving 2
leg 1
lived 1
lives 2
mall 1
maxie 1
merrions 1
moon 2
more 1
mother 1
moving 1
must 1
name 1
named 1
never 1
now 2
of 4
off 1
old 6
on 1
once 1
other 2
others 1
out 2
over 1
own 1
pair 1
past 1
picked 1
puppies 1
puppy 1
refuses 1
renamed 1
renames 1
rest 1
seen 1
sees 1
set 1
she 5
shed 1
shoppers 1
short 1
some 1
spayed 1
squirrel 15
starving 1
station 1
story 1
stray 3
stream 2
struck 1
summer 2
summertheir 1
susan 5
taken 2
takes 1
the 14
their 2
then 3
they 1
this 1
thrown 1
time 3
to 8
together 1
travelers 2
treated 1
tries 1
trust 1
up 1
vet 1
wander 1
wanders 1
wealthy 1
were 1
when 2
where 1
while 1
who 1
whose 1
window 1
with 3
woman 2
wounds 1
years 1
