25406838
/m/09k65y3
/m/09k65y3
Justine Larbalestier
2008-03
{"/m/03mfnf": "Young adult literature"}
14 1
a 11
about 2
actually 1
allboyswilllikeyou 1
always 1
an 1
and 10
anders 1
appears 1
are 1
at 2
attempt 1
attempts 1
avalon 1
away 1
bad 1
be 1
been 1
best 1
bestow 1
better 1
boy 1
boyfriend 1
but 1
by 1
car 2
careful 1
certain 1
charlie 6
charlies 1
charlotte 1
clothesshopping 2
collects 1
crush 1
cursed 1
danders 1
demerits 1
discovering 1
ditch 1
does 1
drastic 1
drastically 1
drive 1
etc 1
even 1
everyboywilllikeyou 2
everything 1
everywhere 1
exhaust 1
fairies 7
fairy 13
fall 1
fiorenze 4
first 2
focus 1
for 5
forces 1
found 1
frenemy 1
friend 1
get 3
gets 1
girls 1
goodhair 1
grass 1
greener 1
halts 1
has 5
hatch 1
hates 2
have 1
he 1
her 13
high 1
his 2
how 2
if 2
illegal 1
in 3
is 9
join 1
just 1
kidnaps 1
kinds 1
lateness 1
learns 1
like 2
likes 1
look 1
loosechangefinding 1
lot 1
luck 1
makes 1
new 3
not 2
of 4
old 1
on 6
one 1
only 1
or 2
out 1
own 1
parking 3
people 1
perfect 2
person 1
personal 1
plan 1
polo 1
possessor 1
pulchritudinous 1
purposes 1
quest 1
remove 1
replace 1
responding 1
rid 1
rochelle 1
school 2
set 1
she 10
short 1
so 1
sports 2
spot 1
star 1
starve 1
stay 1
steffi 2
story 1
switch 1
that 2
the 10
their 2
there 1
these 1
they 1
thinks 1
to 9
trouble 1
try 1
turn 1
virtually 1
walking 1
wants 1
water 1
what 1
when 1
where 2
whether 1
which 1
who 1
whom 1
wishes 1
with 2
wonders 1
world 1
your 1
