9260087
/m/0281__k
/m/0281__k
Tony Hillerman


a 6
abandoned 1
advice 1
after 1
an 3
and 7
apache 1
arizona 1
available 1
awaiting 1
been 1
bernadette 1
body 2
botany 1
bunkers 1
but 1
by 1
calf 1
case 1
causes 1
chee 1
claimed 2
collects 1
contacts 2
contaminated 1
county 1
day 1
death 2
denton 3
destroyed 1
destroyedcontaminated 1
disappeared 1
discovered 1
discovers 1
due 1
evidence 3
examiner 1
famous 1
find 1
finds 1
fires 1
for 2
forest 1
found 1
friend 1
from 4
gallup 1
gas 1
gold 2
golden 1
has 2
have 1
heard 1
her 1
homicide 1
hours 1
how 1
in 5
inadvertently 1
indicates 1
indulges 1
interest 2
investigates 1
involving 2
is 5
it 2
jim 1
joe 1
killed 1
later 1
leaphorn 3
lieutenant 1
lost 2
magnate 1
manuelito 4
marvin 2
mckay 2
medical 2
mine 1
mines 1
mothballed 1
munitions 1
mystery 1
natural 1
navajo 4
nearby 1
not 1
of 3
office 1
officer 5
oil 1
old 2
on 1
or 1
personnel 2
placing 1
police 3
prison 1
problem 1
protection 1
realizes 1
recently 1
released 1
religious 1
removed 1
renews 1
resolve 1
retired 1
seeds 1
selfdefense 1
sentence 1
sergeant 1
serving 1
set 1
several 1
she 2
shooting 1
short 1
shot 1
since 1
sites 1
stage 1
superior 1
that 1
the 11
them 1
this 1
tin 1
to 4
tobacco 1
tribal 3
vehicle 2
was 1
when 3
while 1
who 3
wife 1
wiley 1
