24994453
/m/0gjdvwv
/m/0gjdvwv
Ishin Nishio
2006-08-01
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction"}
1313 1
1313and 1
404 2
a 13
able 1
about 1
address 1
after 1
again 1
alias 1
alive 1
along 1
already 1
also 1
although 1
an 2
and 19
any 1
aquantance 1
as 1
at 2
attack 2
away 2
b 4
babysplit 1
back 1
backstory 1
backyard 1
barely 1
bb 2
bbrue 1
be 2
became 1
between 1
beyond 1
birthdaywho 1
blackberry 1
bluesharp 1
both 1
bottomslash 1
brown 1
burns 1
bus 1
but 2
by 2
came 1
case 3
check 1
close 1
clue 1
clues 2
committing 1
contact 1
criminals 1
current 1
decided 1
deduced 1
detective 1
didnt 1
died 1
different 1
down 2
drove 1
during 2
edge 1
employee 1
everything 1
eyes 1
famous 1
fbi 1
felt 1
few 1
find 1
fire 1
first 3
for 4
former 1
found 1
friend 1
from 3
fun 1
going 1
guilty 1
had 1
hand 1
happens 1
has 2
have 1
he 10
hearing 1
heart 1
held 1
help 1
helped 1
her 7
him 5
himself 1
his 2
hospital 1
hotel 2
house 3
hug 1
in 9
initials 2
instead 1
intelligence 1
interesting 1
is 2
it 3
just 1
keeps 1
kick 1
killed 1
killer 3
kira 1
l 10
la 1
later 2
leading 1
leaned 1
led 1
like 2
lit 1
little 2
look 1
looked 2
luxaky 1
make 1
man 1
managed 1
meets 1
mello 1
mild 1
misora 5
missing 1
most 1
murders 4
name 1
named 1
naomi 3
narrated 1
nearby 1
next 3
nice 1
notice 1
obviously 1
occurred 1
of 10
off 1
old 1
on 3
one 2
ony 1
or 1
original 1
orphanage 1
over 2
paid 1
pasedena 1
patrons 1
penber 1
people 1
pieces 1
plot 1
posing 1
prevent 1
prison 1
psychotic 1
put 1
puzzles 1
ran 1
raye 1
realizes 1
really 1
recounts 1
recruited 1
relationship 1
respectively 1
rooms 1
roomsmisora 1
rue 1
rushes 1
ryuzaki 4
ryuzakisince 1
saw 1
scenes 1
searching 1
seconds 1
sent 1
serial 3
she 10
shinigami 1
shook 1
shortly 1
show 1
since 1
so 1
solved 1
some 1
stairs 2
started 1
starts 1
stops 1
study 1
subway 1
succecerssuicide 1
successors 1
sucking 1
suicides 1
suitesthey 1
supposedly 1
survived 1
testing 1
than 1
that 3
the 29
them 3
they 4
think 1
third 1
this 1
those 1
thought 1
three 1
thumb 1
time 2
to 18
together 1
tragedy 1
tried 1
trying 1
turn 1
two 1
up 2
using 1
various 1
very 1
victim 6
waiting 1
walked 1
wammy 2
was 6
went 3
were 1
whereabouts 1
which 2
while 1
who 4
with 5
worked 1
working 1
would 1
years 1
