15279338
/m/03hnxph
/m/03hnxph
David Clement-Davies
2002-06-07
{"/m/014dfn": "Speculative fiction"}
a 8
afflicted 1
against 1
all 1
and 6
are 1
around 2
as 1
at 1
beginning 1
brings 1
but 1
can 1
cave 2
creatures 1
cropped 1
cubs 1
dark 2
death 1
does 2
dominant 2
dragga 1
drappa 1
earth 1
enemy 1
enough 1
enslavement 1
evil 1
experiences 1
family 2
feared 2
female 1
find 1
for 3
freedom 1
from 2
growing 1
grown 1
had 1
halfsister 1
has 1
hatred 1
have 2
her 2
his 1
huttser 1
in 5
intentions 1
is 2
known 1
legend 1
life 1
love 1
male 1
man 1
many 1
mate 1
morgra 5
most 1
mountain 1
named 1
novel 1
nurse 1
of 5
or 1
order 1
pack 2
pain 1
palla 3
power 1
promises 1
prophecy 1
pull 1
pups 1
quest 1
raise 1
revolve 1
rumors 1
save 1
saving 1
say 1
secret 1
seek 1
she 2
side 1
sight 2
some 1
sorrow 1
stand 1
survive 1
survives 1
term 2
that 3
the 17
their 4
they 1
this 1
through 3
times 1
to 6
together 1
trying 2
up 2
uses 1
ways 1
were 1
where 1
which 3
win 2
with 3
wolf 3
wolves 1
womb 1
