549746
/m/02p0rg
/m/02p0rg
Gore Vidal
1976
{"/m/03g3w": "History", "/m/05hgj": "Novel"}
1873 1
1876 1
30 1
a 8
accompanied 1
activities 1
administration 1
affluent 1
after 2
also 1
and 11
apgar 2
appeared 1
as 1
b 1
backdrop 1
beautiful 1
because 2
become 1
becomes 1
been 1
before 1
between 2
boorish 1
breaks 1
builds 1
burr 1
but 3
by 2
candidate 1
cast 1
chapters 2
characters 2
charles 1
childbirth 1
chronicle 1
close 2
contest 1
crisis 2
dagrigente 1
darling 1
daughter 2
day 1
dc 1
deciding 1
democratic 1
denise 3
descended 1
despite 1
destroyed 1
detail 1
dies 1
diplomatic 1
dispute 1
dull 1
early 1
election 1
emma 5
enable 1
engagement 2
europe 2
fact 1
fame 1
family 1
fictional 1
finds 1
florida 2
focuses 1
for 1
four 1
friends 1
friendship 1
from 1
governor 1
growing 1
had 1
has 3
having 2
hayes 2
he 3
her 3
high 1
him 1
himself 1
his 4
historic 1
historical 1
hopes 1
husband 2
image 1
immediately 1
in 8
including 1
incoming 1
initially 1
instead 1
into 2
introduction 1
is 2
j 1
john 1
journalist 1
late 1
later 1
latter 1
lawyer 1
leaders 1
leading 1
left 1
married 1
marries 1
minor 1
mixed 1
monetary 1
more 1
napoleonic 1
new 4
nobility 1
novel 2
of 7
off 1
on 1
or 1
over 1
penniless 1
political 1
popular 1
position 1
presidential 1
previously 1
princesse 1
rather 1
recently 1
reported 1
republican 2
results 1
return 1
returned 1
run 1
rutherford 1
samuel 1
sanford 2
schermerhorn 1
schuyler 4
schuylers 1
scion 1
secure 1
society 2
sojourn 1
some 1
state 1
states 1
story 1
supports 1
than 1
that 3
the 22
there 1
this 1
through 1
tilden 4
to 7
up 1
us 1
usa 1
victory 1
vidal 1
vote 1
was 1
washington 1
wealth 1
wealthy 2
where 1
who 2
widowed 1
will 1
william 1
with 2
won 2
work 1
years 1
york 4
young 2
