8679890
/m/027dr3b
/m/027dr3b
Yaakov Shabtai
1977
{"/m/02xlf": "Fiction"}
1 2
170 1
a 2
acquaintances 1
admit 1
adventures 1
after 1
always 1
amateur 1
and 6
april 1
as 2
associations 1
aviv 1
begins 1
between 1
caesar 1
can 1
characters 2
compare 1
complex 1
death 1
depression 1
doubt 1
elders 1
ends 1
father 1
firm 1
focuses 1
friends 1
gained 1
goldman 3
guilt 1
hatred 1
heroic 1
hold 1
in 4
insights 1
instead 1
interests 1
into 1
is 2
israel 2
january 1
jews 1
little 1
lives 1
lose 1
love 1
lurching 1
men 1
not 1
novel 1
of 4
older 1
on 3
or 3
other 1
past 1
period 1
philosophy 1
pitiful 1
poland 1
present 1
refusal 1
relatives 1
religious 1
seethe 1
sexual 1
short 1
siberia 1
socialism 1
something 1
sometime 1
sometimes 1
story 1
stream 1
suicide 1
sweat 1
tel 1
that 1
the 7
their 3
themselves 1
this 1
those 1
three 2
through 1
to 3
unfavorably 1
well 1
whether 1
with 1
woven 1
younger 1
