9572818
/m/02pkgf4
/m/02pkgf4
Erin Gruwell
1999
150 1
a 9
activists 1
against 1
all 2
america 1
an 3
and 12
angrily 1
anne 1
are 1
arranged 1
as 2
at 1
atrisk 1
attending 1
be 1
beach 1
books 2
both 1
by 3
california 2
caricature 1
changed 1
childs 1
civil 1
college 1
confronted 1
considered 1
courage 1
courageous 1
coverage 1
day 1
declared 2
determination 1
determined 1
diaries 2
diary 3
dubbing 1
dutch 1
education 1
educationally 1
efforts 1
english 1
entries 1
erin 3
example 1
eyeopening 1
family 1
feelings 1
fiercely 1
for 2
frank 2
freedom 4
from 3
front 1
funds 1
gies 1
girl 1
graduated 1
gruwell 2
gruwells 1
guides 1
hard 1
have 2
her 3
heroes 1
high 2
holocaustonly 1
homage 1
how 1
idealistic 1
in 8
inspiring 1
intercepted 1
intolerance 1
is 1
learned 1
led 1
life 1
lifechanging 1
line 1
live 1
lives 2
long 1
looks 1
magazine 1
meeting 1
met 1
miep 1
misunderstanding 1
narrative 1
note 1
now 1
odyssey 1
of 10
off 1
on 1
one 2
own 2
paid 1
parallels 1
people 1
powerful 1
precisely 1
prime 1
racial 1
raised 1
readathon 1
real 1
recognitionappearances 1
recording 1
remarkable 1
richard 1
riders 1
rights 1
rileyand 1
room 1
sarajevo 1
school 2
secretary 1
see 1
she 3
sheltered 1
so 1
sort 1
spectacularly 1
spirit 1
spiritraising 1
story 1
straight 1
students 6
teacher 3
terms 1
text 1
that 3
the 17
their 4
them 1
themselves 1
these 1
they 2
thing 1
things 1
this 1
thoughts 1
time 1
to 6
tolerance 1
treasured 1
twentythreeyearold 1
ugly 1
uncomprehending 1
undertook 1
unforgettable 1
unteachable 1
uplifting 1
urban 1
us 1
using 1
visit 1
was 1
were 1
where 1
who 1
wilson 1
with 4
woman 1
work 1
writers 3
young 1
zlatas 1
