4954697
/m/0cwy01
/m/0cwy01
Darren Shan

{"/m/01hmnh": "Fantasy", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature"}
10th 1
a 4
after 1
agrees 1
alone 1
and 11
another 1
anyone 1
arm 1
as 2
at 1
back 1
battle 1
been 1
believes 1
below 1
between 1
book 1
but 1
by 1
calls 1
cant 1
carelessly 1
causes 1
cliff 1
crepsley 5
cry 1
darren 5
dawn 1
dead 2
death 1
departed 1
destroy 1
devastated 1
discarded 1
empty 1
ending 2
even 1
everyone 1
exchange 1
face 1
fall 1
falls 1
feeling 1
fight 1
fighting 1
find 1
flaming 1
for 2
from 1
giving 1
go 2
goes 1
had 1
hanging 1
harkat 1
has 1
he 7
help 1
him 1
himself 2
his 1
holding 1
in 3
into 3
is 5
it 1
jumps 1
kill 1
killers 1
kills 1
last 1
leading 1
leaves 1
lets 1
lord 5
mr 5
much 1
must 2
no 1
of 6
on 1
one 2
onto 2
or 2
out 1
over 2
perfect 1
pit 2
recap 1
rest 2
reveals 1
safely 1
sake 1
says 1
seek 1
sides 1
since 1
smile 1
smoothly 1
so 3
soon 1
stakes 1
steve 7
stop 2
straight 1
succeeded 1
that 1
the 20
their 1
themselves 1
there 1
they 3
theyve 1
thinks 1
this 1
to 4
tunnels 1
two 1
vain 1
vampaneze 9
vampires 2
vancha 2
war 1
weapons 1
where 3
which 1
whom 1
with 3
world 1
