31956123
/m/0gvv1dl
/m/0gvv1dl

2008-04-01
{"/m/03mfnf": "Young adult literature"}
a 8
about 1
absentmindedly 1
academically 1
addresses 1
adult 1
afraid 1
along 1
and 2
any 1
asked 1
aunt 1
best 1
blepharoplasty 1
boy 1
break 1
but 1
by 2
causes 1
chance 1
classmate 1
crush 1
day 1
determined 1
does 1
europeanlooking 1
eyelid 1
eyes 1
family 1
familys 1
finished 1
fold 1
friend 1
from 2
gift 1
gina 1
given 1
had 1
hampered 1
has 1
have 2
he 2
help 1
her 10
high 1
if 1
immigrants 1
in 1
inclined 1
is 3
joyce 3
junior 1
just 2
kind 1
korean 2
last 1
lottery 1
major 1
making 1
more 2
name 1
of 9
older 1
on 2
other 1
out 3
pain 1
park 1
plastic 1
problem 1
program 1
prominent 1
restaurant 1
school 2
selfimprovement 1
sets 1
shadow 1
she 5
shell 1
sign 1
sisters 1
so 1
stand 2
surgery 1
the 5
to 4
trying 1
ugly 1
undergoes 1
when 1
which 1
who 2
will 1
with 2
won 1
working 1
year 1
yearbook 1
