7831661
/m/026flyj
/m/026flyj
André Franquin
1960

a 6
act 1
all 1
and 6
are 1
artsexpert 1
as 3
assassinate 1
assaulted 1
attempt 1
been 1
bodyguards 1
by 1
care 1
champignon 1
changes 1
courts 1
dictateur 1
discovers 1
documentary 1
doing 1
enemies 1
et 1
european 1
fair 1
family 1
fantasio 2
film 2
follows 1
for 1
form 1
gangster 1
gangsters 2
has 1
he 1
her 1
in 8
infant 1
invites 1
john 1
judo 1
kidnap 1
kiki 2
last 1
le 2
man 1
marsupilami 1
marsupilamis 1
martial 1
mate 1
millionaire 1
need 1
nest 1
new 1
nut 1
of 4
oil 1
order 1
p 1
palombia 1
protection 1
revealing 1
screening 1
seccotine 1
seen 1
she 1
since 1
small 1
son 1
soto 2
spirou 2
the 8
them 1
they 1
to 4
train 1
tycoon 1
unexpectedly 1
visit 1
wants 1
what 1
who 1
wild 1
with 1
